country,visa_type,processing_office,month,processing_time
UK,Student,Delhi,1,30
Canada,Student,Chennai,6,23
USA,Student,Delhi,6,87
UK,Work,Chennai,1,52
Canada,Tourist,Chennai,11,89
India,Student,Mumbai,3,68
UK,Student,Delhi,5,70
USA,Work,Mumbai,3,59
India,Tourist,Delhi,10,48
India,Tourist,Chennai,3,23
India,Work,Chennai,10,22
UK,Work,Delhi,3,21
USA,Tourist,Mumbai,5,50
India,Student,Mumbai,5,32
Canada,Tourist,Mumbai,4,17
India,Work,Mumbai,1,42
India,Student,Chennai,5,84
UK,Student,Chennai,10,58
UK,Work,Chennai,5,35
USA,Work,Chennai,4,42
Canada,Work,Chennai,6,68
UK,Tourist,Mumbai,10,68
India,Tourist,Mumbai,4,79
USA,Student,Mumbai,7,35
India,Work,Mumbai,7,27
India,Student,Chennai,2,71
UK,Student,Chennai,3,63
USA,Student,Chennai,1,68
Canada,Student,Delhi,8,24
Canada,Work,Mumbai,9,67
UK,Student,Mumbai,4,58
UK,Work,Chennai,6,61
USA,Work,Mumbai,9,67
Canada,Tourist,Mumbai,6,88
Canada,Work,Chennai,12,60
Canada,Tourist,Delhi,12,27
India,Work,Delhi,12,51
Canada,Work,Delhi,9,38
India,Work,Chennai,4,16
USA,Tourist,Mumbai,8,28
India,Tourist,Chennai,9,24
USA,Student,Chennai,4,49
Canada,Tourist,Mumbai,5,39
Canada,Tourist,Delhi,8,17
USA,Tourist,Delhi,12,31
UK,Tourist,Chennai,10,26
USA,Student,Delhi,6,68
UK,Tourist,Chennai,12,38
India,Work,Chennai,7,43
India,Work,Mumbai,3,57
India,Tourist,Mumbai,7,39
Canada,Tourist,Mumbai,12,74
India,Work,Chennai,8,79
UK,Work,Mumbai,10,42
India,Student,Delhi,6,30
USA,Work,Delhi,10,61
USA,Work,Chennai,9,72
Canada,Tourist,Chennai,6,41
USA,Work,Mumbai,12,67
UK,Student,Chennai,9,56
India,Work,Chennai,4,73
Canada,Tourist,Delhi,8,61
India,Tourist,Delhi,11,48
India,Work,Mumbai,4,51
UK,Tourist,Chennai,2,20
USA,Student,Chennai,10,21
USA,Student,Delhi,11,39
India,Work,Chennai,9,47
Canada,Work,Delhi,5,69
USA,Work,Mumbai,4,72
Canada,Tourist,Delhi,2,21
USA,Student,Chennai,1,71
Canada,Student,Mumbai,11,26
UK,Tourist,Delhi,7,30
Canada,Student,Delhi,6,57
UK,Work,Mumbai,2,21
UK,Work,Mumbai,8,65
Canada,Work,Delhi,11,87
UK,Student,Chennai,4,46
India,Work,Delhi,8,89
UK,Tourist,Mumbai,7,22
USA,Tourist,Delhi,5,86
Canada,Student,Mumbai,10,59
India,Tourist,Mumbai,10,73
Canada,Tourist,Chennai,12,18
USA,Student,Mumbai,8,81
USA,Work,Mumbai,9,43
USA,Work,Chennai,5,43
UK,Work,Mumbai,10,42
UK,Student,Chennai,5,58
Canada,Tourist,Chennai,2,18
Canada,Work,Mumbai,5,23
India,Work,Mumbai,3,19
India,Student,Delhi,7,70
Canada,Work,Chennai,10,64
UK,Student,Delhi,5,89
USA,Tourist,Mumbai,8,29
Canada,Student,Delhi,1,46
India,Student,Chennai,3,42
UK,Student,Delhi,3,36
Canada,Student,Chennai,9,31
Canada,Tourist,Mumbai,5,73
UK,Tourist,Mumbai,12,85
Canada,Work,Chennai,9,71
UK,Tourist,Mumbai,9,40
USA,Tourist,Mumbai,1,39
UK,Work,Mumbai,2,24
UK,Tourist,Mumbai,5,59
UK,Student,Chennai,4,25
Canada,Student,Delhi,10,67
Canada,Work,Delhi,9,86
UK,Work,Mumbai,7,82
Canada,Work,Delhi,6,42
India,Student,Delhi,7,89
India,Tourist,Mumbai,1,79
Canada,Student,Mumbai,1,63
Canada,Work,Delhi,8,61
UK,Tourist,Chennai,2,66
USA,Tourist,Mumbai,12,68
Canada,Student,Chennai,10,74
India,Work,Delhi,11,71
UK,Student,Mumbai,9,61
Canada,Tourist,Chennai,7,45
India,Student,Mumbai,6,60
India,Student,Delhi,1,40
USA,Work,Chennai,1,19
UK,Work,Delhi,2,66
UK,Tourist,Delhi,6,89
USA,Student,Mumbai,6,68
USA,Student,Chennai,2,47
UK,Student,Delhi,1,64
UK,Tourist,Delhi,10,52
Canada,Tourist,Chennai,5,41
Canada,Work,Delhi,5,29
USA,Work,Delhi,2,75
Canada,Work,Chennai,6,35
India,Student,Chennai,9,60
Canada,Student,Chennai,2,83
Canada,Work,Chennai,10,20
India,Student,Mumbai,2,52
USA,Work,Chennai,3,76
India,Tourist,Mumbai,7,76
Canada,Work,Mumbai,6,88
USA,Tourist,Mumbai,12,60
Canada,Student,Delhi,8,27
India,Work,Mumbai,8,17
India,Student,Mumbai,6,20
Canada,Tourist,Delhi,12,22
UK,Tourist,Delhi,11,58
UK,Tourist,Delhi,10,47
India,Student,Chennai,3,89
India,Student,Delhi,3,64
UK,Student,Delhi,1,25
UK,Student,Mumbai,7,42
Canada,Tourist,Delhi,5,84
Canada,Tourist,Chennai,4,55
UK,Work,Delhi,10,30
Canada,Work,Chennai,4,82
Canada,Student,Delhi,4,62
USA,Tourist,Delhi,6,70
Canada,Tourist,Delhi,8,78
India,Tourist,Delhi,8,73
Canada,Work,Chennai,5,76
Canada,Work,Chennai,6,25
UK,Tourist,Mumbai,4,32
India,Tourist,Chennai,12,33
Canada,Tourist,Delhi,11,69
Canada,Work,Mumbai,9,40
USA,Tourist,Mumbai,8,20
Canada,Tourist,Mumbai,10,18
Canada,Student,Delhi,12,43
USA,Student,Chennai,10,73
UK,Work,Delhi,1,31
Canada,Tourist,Mumbai,2,57
USA,Tourist,Delhi,9,80
India,Student,Delhi,8,48
UK,Work,Chennai,3,22
India,Student,Chennai,8,27
India,Student,Mumbai,12,22
USA,Student,Delhi,1,79
Canada,Student,Delhi,10,57
USA,Tourist,Chennai,4,53
USA,Tourist,Delhi,3,73
USA,Student,Delhi,6,58
USA,Work,Delhi,7,23
UK,Work,Chennai,4,51
Canada,Work,Mumbai,7,88
India,Work,Mumbai,9,50
India,Student,Delhi,11,42
Canada,Tourist,Mumbai,2,56
India,Work,Chennai,11,57
Canada,Student,Chennai,3,56
India,Work,Mumbai,5,80
USA,Work,Mumbai,3,69
India,Student,Delhi,11,86
Canada,Tourist,Mumbai,8,62
Canada,Tourist,Delhi,12,36
Canada,Student,Delhi,10,41
Canada,Tourist,Chennai,8,81
Canada,Student,Chennai,8,27
UK,Student,Chennai,12,59
UK,Student,Chennai,12,24
India,Tourist,Mumbai,9,23
Canada,Student,Chennai,4,68
India,Work,Mumbai,5,41
Canada,Tourist,Chennai,5,48
Canada,Tourist,Mumbai,8,15
UK,Tourist,Delhi,7,46
UK,Tourist,Mumbai,9,85
USA,Work,Mumbai,8,81
UK,Tourist,Chennai,2,34
USA,Tourist,Mumbai,10,49
USA,Student,Delhi,12,31
USA,Tourist,Delhi,4,32
USA,Work,Chennai,6,59
USA,Work,Delhi,12,67
India,Work,Mumbai,2,82
UK,Work,Delhi,7,79
USA,Tourist,Chennai,3,15
Canada,Tourist,Mumbai,3,72
UK,Work,Chennai,11,40
UK,Work,Mumbai,2,34
USA,Tourist,Delhi,11,24
India,Work,Chennai,8,73
USA,Student,Chennai,6,89
India,Work,Mumbai,1,55
Canada,Work,Chennai,12,19
UK,Student,Mumbai,1,79
Canada,Student,Mumbai,7,31
India,Tourist,Mumbai,8,36
India,Tourist,Mumbai,5,55
Canada,Student,Delhi,12,82
India,Student,Mumbai,11,83
Canada,Tourist,Chennai,5,25
UK,Work,Delhi,4,70
Canada,Student,Chennai,6,65
UK,Tourist,Delhi,6,35
Canada,Work,Mumbai,3,40
India,Student,Delhi,9,33
Canada,Work,Delhi,12,74
India,Tourist,Chennai,11,85
Canada,Student,Chennai,7,61
Canada,Work,Mumbai,1,85
USA,Student,Delhi,7,40
India,Work,Delhi,5,54
USA,Tourist,Delhi,5,19
India,Tourist,Mumbai,2,35
USA,Student,Mumbai,4,18
UK,Work,Mumbai,12,37
Canada,Student,Mumbai,6,29
India,Student,Mumbai,10,22
India,Work,Chennai,11,55
Canada,Work,Delhi,7,33
India,Work,Delhi,11,60
India,Tourist,Delhi,5,42
USA,Student,Delhi,9,82
India,Student,Delhi,3,29
UK,Tourist,Delhi,1,51
UK,Work,Delhi,4,15
Canada,Tourist,Delhi,9,81
India,Tourist,Chennai,4,38
Canada,Tourist,Delhi,2,41
UK,Student,Chennai,10,54
India,Tourist,Mumbai,5,77
India,Student,Delhi,3,75
Canada,Student,Mumbai,12,50
UK,Student,Mumbai,9,38
India,Work,Mumbai,4,38
Canada,Student,Chennai,6,18
UK,Student,Mumbai,2,81
Canada,Work,Mumbai,6,48
USA,Student,Mumbai,3,71
India,Tourist,Delhi,12,63
USA,Tourist,Delhi,12,67
UK,Student,Chennai,9,37
USA,Work,Chennai,11,83
USA,Tourist,Delhi,2,67
UK,Work,Chennai,12,76
Canada,Work,Delhi,12,55
USA,Tourist,Mumbai,9,71
Canada,Work,Mumbai,5,74
USA,Tourist,Chennai,8,68
Canada,Work,Delhi,2,84
UK,Tourist,Delhi,6,71
USA,Student,Chennai,3,24
UK,Tourist,Delhi,12,54
USA,Tourist,Mumbai,12,21
UK,Tourist,Chennai,10,52
UK,Tourist,Chennai,5,75
USA,Work,Delhi,12,17
USA,Student,Chennai,8,65
USA,Tourist,Delhi,10,61
India,Work,Delhi,1,82
Canada,Student,Delhi,5,52
India,Student,Delhi,3,50
India,Student,Delhi,4,55
UK,Student,Chennai,2,83
USA,Tourist,Mumbai,9,27
Canada,Tourist,Mumbai,3,72
UK,Work,Chennai,2,64
India,Work,Chennai,10,44
USA,Work,Mumbai,11,76
UK,Student,Mumbai,9,39
USA,Student,Mumbai,7,41
UK,Tourist,Mumbai,6,65
USA,Student,Mumbai,1,71
India,Student,Delhi,5,61
Canada,Student,Chennai,12,53
India,Work,Delhi,11,30
Canada,Work,Mumbai,11,36
USA,Tourist,Mumbai,3,68
UK,Student,Mumbai,1,35
India,Student,Delhi,4,86
Canada,Tourist,Delhi,2,30
India,Student,Mumbai,2,73
Canada,Student,Delhi,3,45
India,Work,Delhi,8,56
Canada,Tourist,Mumbai,8,88
Canada,Tourist,Delhi,12,46
USA,Tourist,Chennai,7,73
Canada,Tourist,Chennai,6,48
USA,Work,Chennai,9,23
Canada,Work,Chennai,4,25
UK,Student,Mumbai,12,24
UK,Student,Mumbai,1,31
UK,Student,Mumbai,8,82
Canada,Student,Chennai,7,62
USA,Work,Chennai,7,66
USA,Tourist,Delhi,3,39
Canada,Work,Delhi,4,35
UK,Student,Chennai,10,79
UK,Work,Chennai,9,77
USA,Tourist,Chennai,6,65
UK,Tourist,Chennai,5,50
India,Work,Delhi,3,80
USA,Work,Chennai,9,29
UK,Work,Delhi,5,53
USA,Student,Chennai,5,84
India,Work,Chennai,4,15
USA,Work,Chennai,4,37
USA,Work,Delhi,12,53
USA,Tourist,Delhi,1,71
USA,Tourist,Mumbai,7,48
India,Student,Chennai,9,55
Canada,Student,Mumbai,3,87
USA,Tourist,Mumbai,12,27
USA,Tourist,Delhi,2,84
UK,Tourist,Delhi,3,20
USA,Work,Mumbai,1,66
UK,Work,Chennai,6,17
Canada,Tourist,Delhi,11,77
India,Work,Chennai,11,63
India,Work,Chennai,7,61
Canada,Student,Mumbai,11,69
India,Tourist,Mumbai,11,78
Canada,Tourist,Mumbai,2,79
Canada,Work,Mumbai,8,81
Canada,Tourist,Delhi,6,29
India,Student,Delhi,4,46
UK,Student,Mumbai,5,82
Canada,Student,Delhi,8,32
USA,Tourist,Mumbai,3,57
India,Tourist,Chennai,3,49
Canada,Tourist,Chennai,11,72
Canada,Tourist,Chennai,4,47
USA,Tourist,Mumbai,1,28
UK,Student,Chennai,9,48
UK,Work,Delhi,8,75
UK,Student,Chennai,8,18
Canada,Tourist,Chennai,10,73
Canada,Student,Chennai,6,43
Canada,Tourist,Delhi,7,20
India,Tourist,Mumbai,6,63
USA,Student,Delhi,9,54
Canada,Tourist,Mumbai,3,79
USA,Work,Mumbai,3,83
USA,Tourist,Chennai,3,41
UK,Work,Mumbai,10,20
India,Work,Delhi,3,27
Canada,Tourist,Delhi,9,78
UK,Student,Mumbai,12,76
UK,Work,Chennai,4,33
Canada,Student,Chennai,7,57
USA,Work,Delhi,9,88
UK,Tourist,Chennai,11,34
USA,Tourist,Mumbai,12,82
India,Work,Mumbai,7,58
USA,Tourist,Delhi,9,37
India,Work,Mumbai,12,16
USA,Tourist,Delhi,3,36
UK,Student,Mumbai,4,71
UK,Tourist,Delhi,8,86
India,Student,Chennai,6,21
Canada,Tourist,Mumbai,5,70
India,Student,Mumbai,4,81
India,Tourist,Delhi,8,30
USA,Student,Delhi,1,65
USA,Work,Mumbai,9,86
India,Work,Delhi,1,26
UK,Student,Mumbai,8,67
USA,Tourist,Chennai,4,89
Canada,Student,Delhi,9,19
USA,Tourist,Mumbai,11,41
USA,Work,Chennai,5,26
Canada,Tourist,Chennai,3,31
India,Work,Mumbai,9,20
Canada,Tourist,Delhi,11,19
India,Tourist,Mumbai,9,71
India,Tourist,Chennai,4,42
India,Student,Mumbai,11,83
Canada,Student,Delhi,4,73
India,Work,Chennai,12,47
UK,Work,Mumbai,8,76
Canada,Student,Delhi,2,64
UK,Work,Chennai,9,33
India,Student,Delhi,6,83
USA,Tourist,Chennai,9,80
India,Work,Mumbai,8,61
UK,Work,Delhi,7,53
UK,Student,Chennai,1,82
Canada,Work,Delhi,12,47
USA,Work,Delhi,3,27
Canada,Tourist,Mumbai,11,68
UK,Work,Delhi,2,21
India,Tourist,Chennai,5,28
USA,Student,Chennai,5,33
India,Work,Chennai,5,68
India,Tourist,Chennai,4,34
USA,Student,Mumbai,5,43
Canada,Work,Delhi,3,38
India,Student,Mumbai,12,77
UK,Work,Delhi,1,88
India,Student,Delhi,5,71
USA,Student,Delhi,9,22
USA,Tourist,Mumbai,9,76
USA,Student,Delhi,4,43
Canada,Work,Mumbai,3,88
India,Work,Chennai,1,31
Canada,Tourist,Chennai,2,80
Canada,Work,Delhi,8,20
USA,Work,Mumbai,1,72
USA,Work,Chennai,8,83
Canada,Student,Mumbai,7,42
India,Student,Mumbai,8,76
UK,Work,Delhi,12,55
Canada,Tourist,Chennai,6,83
India,Student,Delhi,12,55
USA,Tourist,Delhi,9,63
USA,Work,Chennai,3,63
India,Work,Chennai,10,85
UK,Student,Mumbai,4,17
USA,Work,Chennai,6,24
USA,Student,Mumbai,8,49
USA,Work,Mumbai,5,16
India,Work,Mumbai,3,38
Canada,Student,Chennai,6,88
USA,Student,Delhi,4,52
Canada,Student,Mumbai,9,36
UK,Work,Delhi,3,40
USA,Work,Delhi,4,57
USA,Tourist,Chennai,7,69
UK,Student,Delhi,7,53
USA,Work,Delhi,12,43
Canada,Work,Chennai,12,34
India,Student,Mumbai,4,55
Canada,Tourist,Delhi,6,68
India,Student,Chennai,12,34
India,Tourist,Delhi,3,33
Canada,Work,Delhi,6,80
Canada,Tourist,Mumbai,12,44
Canada,Work,Delhi,2,67
Canada,Student,Chennai,8,48
UK,Student,Delhi,2,36
USA,Student,Mumbai,11,81
India,Tourist,Mumbai,7,20
Canada,Work,Chennai,9,41
Canada,Student,Mumbai,1,24
Canada,Student,Delhi,8,87
UK,Work,Mumbai,7,62
Canada,Student,Chennai,6,84
Canada,Work,Mumbai,6,73
Canada,Work,Mumbai,6,73
USA,Work,Mumbai,9,16
UK,Work,Chennai,2,43
Canada,Work,Mumbai,1,82
India,Tourist,Mumbai,12,79
India,Student,Delhi,6,40
India,Tourist,Chennai,10,24
UK,Student,Mumbai,11,67
UK,Tourist,Chennai,8,73
India,Work,Mumbai,3,36
Canada,Student,Mumbai,12,65
UK,Student,Mumbai,10,62
India,Tourist,Delhi,1,35
India,Tourist,Delhi,9,36
Canada,Student,Delhi,1,44
USA,Tourist,Chennai,3,39
UK,Tourist,Chennai,8,42
Canada,Tourist,Delhi,3,79
India,Work,Chennai,4,59
India,Work,Mumbai,8,82
Canada,Tourist,Mumbai,1,21
UK,Tourist,Mumbai,6,63
USA,Work,Delhi,1,23
USA,Work,Chennai,1,50
India,Student,Delhi,8,15
UK,Student,Chennai,11,24
USA,Work,Mumbai,4,50
UK,Tourist,Delhi,12,87
UK,Tourist,Chennai,1,60
India,Tourist,Chennai,10,46
USA,Tourist,Mumbai,7,46
Canada,Student,Delhi,5,20
India,Work,Delhi,5,62
USA,Tourist,Delhi,1,52
USA,Student,Mumbai,10,31
USA,Tourist,Delhi,11,88
USA,Work,Mumbai,6,41
USA,Student,Mumbai,9,68
UK,Work,Mumbai,9,64
India,Work,Chennai,8,49
UK,Student,Delhi,5,39
Canada,Student,Delhi,1,42
USA,Student,Mumbai,9,29
India,Student,Mumbai,1,18
USA,Student,Delhi,8,87
India,Student,Mumbai,5,41
UK,Student,Delhi,3,40
India,Tourist,Chennai,11,33
Canada,Work,Mumbai,7,31
Canada,Student,Delhi,7,57
India,Tourist,Mumbai,9,55
India,Tourist,Delhi,7,56
India,Tourist,Delhi,11,64
India,Work,Mumbai,3,54
Canada,Student,Chennai,11,53
USA,Tourist,Delhi,1,37
India,Work,Delhi,8,66
India,Work,Delhi,12,61
Canada,Work,Chennai,3,77
Canada,Tourist,Chennai,12,83
UK,Student,Mumbai,8,57
India,Tourist,Chennai,8,62
UK,Tourist,Mumbai,5,48
Canada,Student,Mumbai,12,54
Canada,Student,Chennai,1,89
USA,Student,Mumbai,10,75
India,Work,Chennai,7,64
UK,Student,Mumbai,12,81
Canada,Tourist,Chennai,10,76
Canada,Student,Chennai,5,72
UK,Tourist,Mumbai,8,47
USA,Work,Delhi,9,89
Canada,Tourist,Mumbai,11,30
India,Tourist,Chennai,7,62
Canada,Student,Delhi,7,24
India,Student,Mumbai,1,52
UK,Tourist,Mumbai,4,33
India,Student,Mumbai,2,50
UK,Work,Delhi,2,73
India,Work,Chennai,2,77
UK,Student,Mumbai,4,60
India,Work,Mumbai,1,17
USA,Student,Mumbai,4,88
India,Tourist,Mumbai,2,79
India,Tourist,Mumbai,5,22
USA,Work,Chennai,3,65
Canada,Student,Chennai,12,87
Canada,Student,Mumbai,8,20
India,Work,Delhi,4,53
USA,Tourist,Chennai,1,74
India,Work,Delhi,1,42
UK,Tourist,Chennai,12,68
UK,Student,Mumbai,10,51
India,Tourist,Chennai,3,23
Canada,Work,Mumbai,9,70
Canada,Student,Chennai,7,73
India,Work,Mumbai,2,16
India,Work,Mumbai,9,75
UK,Tourist,Mumbai,10,72
Canada,Work,Mumbai,2,74
India,Tourist,Delhi,3,54
UK,Student,Mumbai,11,50
Canada,Tourist,Delhi,10,51
USA,Student,Delhi,2,32
UK,Tourist,Mumbai,3,77
Canada,Work,Delhi,6,36
Canada,Tourist,Chennai,9,25
UK,Tourist,Mumbai,9,72
USA,Student,Delhi,7,71
UK,Work,Mumbai,12,18
Canada,Tourist,Mumbai,3,21
India,Work,Mumbai,4,75
India,Tourist,Delhi,6,68
UK,Tourist,Chennai,11,82
Canada,Work,Chennai,5,15
India,Tourist,Delhi,2,69
Canada,Work,Mumbai,6,17
UK,Tourist,Delhi,3,52
India,Student,Delhi,8,15
Canada,Work,Delhi,2,52
India,Tourist,Mumbai,1,43
UK,Tourist,Delhi,9,19
Canada,Student,Mumbai,12,88
India,Work,Delhi,3,35
UK,Tourist,Chennai,11,85
India,Student,Delhi,1,81
India,Tourist,Delhi,7,61
USA,Work,Chennai,10,49
USA,Tourist,Mumbai,5,82
UK,Tourist,Mumbai,5,83
USA,Tourist,Delhi,1,15
UK,Tourist,Chennai,9,82
USA,Student,Mumbai,7,26
India,Student,Delhi,8,74
UK,Work,Chennai,9,41
UK,Student,Mumbai,6,70
India,Student,Mumbai,12,37
UK,Work,Chennai,5,39
UK,Student,Chennai,6,35
USA,Student,Chennai,11,75
UK,Work,Chennai,2,77
Canada,Work,Delhi,4,66
India,Work,Chennai,3,39
USA,Tourist,Mumbai,7,69
USA,Tourist,Mumbai,9,60
Canada,Work,Delhi,5,46
India,Work,Mumbai,6,69
India,Work,Mumbai,10,19
USA,Tourist,Chennai,12,50
UK,Tourist,Mumbai,12,63
