application_id,submission_date,decision_date,applicant_country,visa_type,processing_office,submission_month,submission_year,season,processing_time_days,submission_dayofweek,is_peak_month,quarter,target_days
VISA-0000074,1717632000000000000,2024-07-28,China,Tourist,Chennai,6,2024,Summer,52,3,1,Q2,52
VISA-0000075,1684454400000000000,2023-07-13,Mexico,Work,Berlin,5,2023,Spring,55,4,0,Q2,55
VISA-0000076,1661472000000000000,2022-09-28,Canada,Tourist,Ottawa,8,2022,Summer,33,4,1,Q3,33
VISA-0000077,1645228800000000000,2022-04-08,Australia,Dependent,Paris,2,2022,Winter,48,5,0,Q1,48
VISA-0000078,1698451200000000000,2023-12-10,Brazil,Dependent,Mumbai,10,2023,Autumn,43,5,0,Q4,43
VISA-0000079,1715040000000000000,2024-06-25,Nigeria,Student,London,5,2024,Spring,49,1,0,Q2,49
VISA-0000080,1757721600000000000,2025-10-05,India,Transit,Chennai,9,2025,Autumn,22,5,0,Q3,22
VISA-0000081,1678320000000000000,2023-04-01,Philippines,Transit,Unknown,3,2023,Spring,23,3,0,Q1,23
VISA-0000082,1634774400000000000,2021-12-24,Australia,Tourist,Dubai,10,2021,Autumn,64,3,0,Q4,64
VISA-0000083,1740700800000000000,2025-04-29,Nigeria,Student,Mumbai,2,2025,Winter,60,4,0,Q1,60
VISA-0000084,1708732800000000000,2024-04-18,UK,Work,Berlin,2,2024,Winter,54,5,0,Q1,54
VISA-0000085,1719792000000000000,2024-07-26,Canada,Tourist,Johannesburg,7,2024,Summer,25,0,1,Q3,25
VISA-0000086,1624752000000000000,2021-08-29,Canada,Student,New Delhi,6,2021,Summer,63,6,1,Q2,63
VISA-0000087,1658707200000000000,2022-09-04,Germany,Tourist,New Delhi,7,2022,Summer,41,0,1,Q3,41
VISA-0000088,1730505600000000000,2024-11-21,India,Transit,Johannesburg,11,2024,Autumn,19,5,0,Q4,19
VISA-0000089,1740614400000000000,2025-05-02,Philippines,Student,Berlin,2,2025,Winter,64,3,0,Q1,64
VISA-0000090,1678060800000000000,2023-04-15,Brazil,Business,Johannesburg,3,2023,Spring,40,0,0,Q1,40
VISA-0000091,1736294400000000000,2025-03-05,India,Student,Berlin,1,2025,Winter,56,2,0,Q1,56
VISA-0000092,1742169600000000000,2025-04-18,Pakistan,Tourist,Berlin,3,2025,Spring,32,0,0,Q1,32
VISA-0000093,1670544000000000000,2023-02-14,Kenya,Dependent,Mumbai,12,2022,Winter,67,4,1,Q4,67
VISA-0000094,1751068800000000000,2025-07-29,India,Tourist,Sydney,6,2025,Summer,31,5,1,Q2,31
VISA-0000095,1654905600000000000,2022-07-29,France,Tourist,Ottawa,6,2022,Summer,48,5,1,Q2,48
VISA-0000096,1647216000000000000,2022-05-07,Pakistan,Student,Singapore,3,2022,Spring,54,0,0,Q1,54
VISA-0000097,1717027200000000000,2024-07-20,Germany,Work,New Delhi,5,2024,Spring,51,3,0,Q2,51
VISA-0000098,1709856000000000000,2024-04-12,China,Tourist,New Delhi,3,2024,Spring,35,4,0,Q1,35
VISA-0000099,1631491200000000000,2021-10-12,Australia,Tourist,Dubai,9,2021,Autumn,29,0,0,Q3,29
VISA-0000100,1740700800000000000,2025-03-31,India,Tourist,Johannesburg,2,2025,Winter,31,4,0,Q1,31
VISA-0000101,1640908800000000000,2022-02-08,Unknown,Tourist,Johannesburg,12,2021,Winter,39,4,1,Q4,39
VISA-0000102,1736294400000000000,2025-02-13,UK,Tourist,Dubai,1,2025,Winter,36,2,0,Q1,36
VISA-0000103,1610582400000000000,2021-03-10,Brazil,Student,Ottawa,1,2021,Winter,55,3,0,Q1,55
VISA-0000104,1735084800000000000,2025-01-29,India,Tourist,London,12,2024,Winter,35,2,1,Q4,35
VISA-0000105,1733529600000000000,2025-01-19,Bangladesh,Tourist,Johannesburg,12,2024,Winter,43,5,1,Q4,43
VISA-0000106,1732492800000000000,2025-02-04,China,Work,Chennai,11,2024,Autumn,71,0,0,Q4,71
VISA-0000107,1714262400000000000,2024-05-26,Bangladesh,Business,Mumbai,4,2024,Spring,28,6,0,Q2,28
VISA-0000108,1683763200000000000,2023-06-09,Germany,Tourist,Sydney,5,2023,Spring,29,3,0,Q2,29
VISA-0000109,1720569600000000000,2024-08-21,Mexico,Tourist,Ottawa,7,2024,Summer,42,2,1,Q3,42
VISA-0000110,1653091200000000000,2022-06-20,Mexico,Tourist,Sydney,5,2022,Spring,30,5,0,Q2,30
VISA-0000111,1732492800000000000,2024-12-11,Mexico,Transit,Singapore,11,2024,Autumn,16,0,0,Q4,16
VISA-0000112,1697068800000000000,2023-11-09,Mexico,Tourist,Chennai,10,2023,Autumn,28,3,0,Q4,28
VISA-0000113,1681776000000000000,2023-05-11,China,Tourist,Singapore,4,2023,Spring,23,1,0,Q2,23
VISA-0000114,1689120000000000000,2023-09-04,Mexico,Student,Chennai,7,2023,Summer,54,2,1,Q3,54
VISA-0000115,1699056000000000000,2023-11-27,UK,Tourist,London,11,2023,Autumn,23,5,0,Q4,23
VISA-0000116,1615334400000000000,2021-04-14,Brazil,Tourist,New Delhi,3,2021,Spring,35,2,0,Q1,35
VISA-0000117,1631491200000000000,2021-10-09,Germany,Tourist,Berlin,9,2021,Autumn,26,0,0,Q3,26
VISA-0000118,1648166400000000000,2022-05-21,France,Work,Singapore,3,2022,Spring,57,4,0,Q1,57
VISA-0000119,1627516800000000000,2021-10-08,Germany,Work,Singapore,7,2021,Summer,71,3,1,Q3,71
VISA-0000120,1678752000000000000,2023-07-06,Pakistan,Work,Mumbai,3,2023,Spring,114,1,0,Q1,114
VISA-0000121,1714780800000000000,2024-06-01,Brazil,Business,Paris,5,2024,Spring,28,5,0,Q2,28
VISA-0000122,1712620800000000000,2024-05-12,Kenya,Tourist,Mumbai,4,2024,Spring,33,1,0,Q2,33
VISA-0000123,1683676800000000000,2023-06-17,Canada,Dependent,Dubai,5,2023,Spring,38,2,0,Q2,38
VISA-0000124,1744243200000000000,2025-05-04,Unknown,Business,Berlin,4,2025,Spring,24,3,0,Q2,24
VISA-0000125,1698537600000000000,2023-12-01,Unknown,Business,Mumbai,10,2023,Autumn,33,6,0,Q4,33
VISA-0000126,1621900800000000000,2021-07-02,Germany,Business,Mumbai,5,2021,Spring,38,1,0,Q2,38
VISA-0000127,1730073600000000000,2024-12-10,Pakistan,Student,New Delhi,10,2024,Autumn,43,0,0,Q4,43
VISA-0000128,1700006400000000000,2023-12-17,France,Tourist,Berlin,11,2023,Autumn,32,2,0,Q4,32
VISA-0000129,1709510400000000000,2024-04-22,Australia,Student,Dubai,3,2024,Spring,49,0,0,Q1,49
VISA-0000130,1698537600000000000,2023-12-07,Nigeria,Tourist,Mumbai,10,2023,Autumn,39,6,0,Q4,39
VISA-0000131,1696723200000000000,2023-11-26,Australia,Student,Sydney,10,2023,Autumn,49,6,0,Q4,49
VISA-0000132,1623715200000000000,2021-07-28,Canada,Tourist,Paris,6,2021,Summer,43,1,1,Q2,43
VISA-0000133,1697587200000000000,2023-11-19,Australia,Tourist,Chennai,10,2023,Autumn,32,2,0,Q4,32
VISA-0000134,1734739200000000000,2025-02-09,Canada,Dependent,Dubai,12,2024,Winter,50,5,1,Q4,50
VISA-0000135,1657324800000000000,2022-09-20,France,Work,London,7,2022,Summer,73,5,1,Q3,73
VISA-0000136,1704499200000000000,2024-03-14,Nigeria,Work,Chennai,1,2024,Winter,68,5,0,Q1,68
VISA-0000137,1614297600000000000,2021-04-03,Kenya,Unknown,Ottawa,2,2021,Winter,36,4,0,Q1,36
VISA-0000138,1664236800000000000,2022-11-26,China,Work,Unknown,9,2022,Autumn,60,1,0,Q3,60
VISA-0000139,1678320000000000000,2023-04-27,Philippines,Dependent,Sydney,3,2023,Spring,49,3,0,Q1,49
VISA-0000140,1764374400000000000,2026-01-24,Australia,Work,Chennai,11,2025,Autumn,56,5,0,Q4,56
VISA-0000141,1643241600000000000,2022-04-15,India,Work,Ottawa,1,2022,Winter,78,3,0,Q1,78
VISA-0000142,1653004800000000000,2022-07-17,Mexico,Student,Dubai,5,2022,Spring,58,4,0,Q2,58
VISA-0000143,1673827200000000000,2023-02-26,China,Tourist,Ottawa,1,2023,Winter,41,0,0,Q1,41
VISA-0000144,1765929600000000000,2026-02-09,Brazil,Work,Berlin,12,2025,Winter,54,2,1,Q4,54
VISA-0000145,1743984000000000000,2025-05-11,Nigeria,Transit,Mumbai,4,2025,Spring,34,0,0,Q2,34
VISA-0000146,1614902400000000000,2021-05-15,Bangladesh,Student,Mumbai,3,2021,Spring,71,4,0,Q1,71
VISA-0000147,1646265600000000000,2022-04-29,Mexico,Student,Singapore,3,2022,Spring,57,3,0,Q1,57
VISA-0000148,1738972800000000000,2025-04-03,Canada,Student,Sydney,2,2025,Winter,54,5,0,Q1,54
VISA-0000149,1618617600000000000,2021-06-04,Canada,Student,Dubai,4,2021,Spring,48,5,0,Q2,48
VISA-0000150,1744329600000000000,2025-05-04,Kenya,Transit,Paris,4,2025,Spring,23,4,0,Q2,23
VISA-0000151,1653782400000000000,2022-08-07,Kenya,Work,Mumbai,5,2022,Spring,70,6,0,Q2,70
VISA-0000152,1754092800000000000,2025-09-17,Mexico,Student,Johannesburg,8,2025,Summer,46,5,1,Q3,46
VISA-0000153,1655683200000000000,2022-08-09,Canada,Student,Ottawa,6,2022,Summer,50,0,1,Q2,50
VISA-0000154,1677888000000000000,2023-04-10,India,Student,Singapore,3,2023,Spring,37,5,0,Q1,37
VISA-0000155,1713744000000000000,2024-05-29,Kenya,Tourist,Ottawa,4,2024,Spring,37,0,0,Q2,37
VISA-0000156,1629331200000000000,2021-10-30,UK,Student,Ottawa,8,2021,Summer,72,3,1,Q3,72
VISA-0000157,1697241600000000000,2023-11-18,Germany,Business,Dubai,10,2023,Autumn,35,5,0,Q4,35
VISA-0000158,1689033600000000000,2023-10-31,Brazil,Work,Chennai,7,2023,Summer,112,1,1,Q3,112
VISA-0000159,1733011200000000000,2025-03-07,Bangladesh,Tourist,Dubai,12,2024,Winter,96,6,1,Q4,96
VISA-0000160,1766448000000000000,2026-02-03,India,Business,Johannesburg,12,2025,Winter,42,1,1,Q4,42
VISA-0000161,1673913600000000000,2023-03-09,UK,Business,Berlin,1,2023,Winter,51,1,0,Q1,51
VISA-0000162,1673481600000000000,2023-02-23,Bangladesh,Tourist,New Delhi,1,2023,Winter,42,3,0,Q1,42
VISA-0000163,1675296000000000000,2023-04-11,Brazil,Work,Berlin,2,2023,Winter,68,3,0,Q1,68
VISA-0000164,1737763200000000000,2025-03-22,UK,Work,New Delhi,1,2025,Winter,56,5,0,Q1,56
VISA-0000165,1660089600000000000,2022-09-26,UK,Dependent,Mumbai,8,2022,Summer,47,2,1,Q3,47
VISA-0000166,1635724800000000000,2021-12-19,Philippines,Tourist,London,11,2021,Autumn,48,0,0,Q4,48
VISA-0000167,1662163200000000000,2022-10-07,Canada,Tourist,London,9,2022,Autumn,34,5,0,Q3,34
VISA-0000168,1613001600000000000,2021-04-14,India,Student,New Delhi,2,2021,Winter,62,3,0,Q1,62
VISA-0000169,1626134400000000000,2021-08-27,Kenya,Tourist,New Delhi,7,2021,Summer,45,1,1,Q3,45
VISA-0000170,1623628800000000000,2021-08-20,Mexico,Student,Paris,6,2021,Summer,67,0,1,Q2,67
VISA-0000171,1731110400000000000,2024-12-07,Brazil,Business,Sydney,11,2024,Autumn,28,5,0,Q4,28
VISA-0000172,1723334400000000000,2024-09-04,UK,Tourist,Chennai,8,2024,Summer,24,6,1,Q3,24
VISA-0000173,1719273600000000000,2024-08-05,Unknown,Student,Ottawa,6,2024,Summer,41,1,1,Q2,41
VISA-0000174,1682208000000000000,2023-05-23,Nigeria,Transit,Berlin,4,2023,Spring,30,6,0,Q2,30
VISA-0000175,1722470400000000000,2024-09-23,UK,Student,Paris,8,2024,Summer,53,3,1,Q3,53
VISA-0000176,1634860800000000000,2022-02-10,Bangladesh,Student,London,10,2021,Autumn,111,4,0,Q4,111
VISA-0000177,1751414400000000000,2025-08-31,UK,Work,Mumbai,7,2025,Summer,60,2,1,Q3,60
VISA-0000178,1688428800000000000,2023-08-14,India,Tourist,Johannesburg,7,2023,Summer,41,1,1,Q3,41
VISA-0000179,1757289600000000000,2025-10-10,Philippines,Tourist,Dubai,9,2025,Autumn,32,0,0,Q3,32
VISA-0000180,1633392000000000000,2021-12-14,Philippines,Work,Johannesburg,10,2021,Autumn,70,1,0,Q4,70
VISA-0000181,1687824000000000000,2023-09-09,Bangladesh,Student,London,6,2023,Summer,74,1,1,Q2,74
VISA-0000182,1719187200000000000,2024-07-16,Canada,Tourist,Mumbai,6,2024,Summer,22,0,1,Q2,22
VISA-0000183,1687564800000000000,2023-08-08,Canada,Tourist,Ottawa,6,2023,Summer,45,5,1,Q2,45
VISA-0000184,1679788800000000000,2023-05-07,Germany,Dependent,London,3,2023,Spring,42,6,0,Q1,42
VISA-0000185,1635638400000000000,2021-12-09,UK,Tourist,Berlin,10,2021,Autumn,39,6,0,Q4,39
VISA-0000186,1669507200000000000,2023-01-02,France,Business,Berlin,11,2022,Autumn,36,6,0,Q4,36
VISA-0000187,1647043200000000000,2022-05-11,Mexico,Student,New Delhi,3,2022,Spring,60,5,0,Q1,60
VISA-0000188,1656979200000000000,2022-09-10,Kenya,Work,Dubai,7,2022,Summer,67,1,1,Q3,67
VISA-0000189,1717200000000000000,2024-07-12,Mexico,Tourist,London,6,2024,Summer,41,5,1,Q2,41
VISA-0000190,1708819200000000000,2024-03-26,UK,Tourist,Dubai,2,2024,Winter,30,6,0,Q1,30
VISA-0000191,1705190400000000000,2024-03-03,Canada,Student,Ottawa,1,2024,Winter,49,6,0,Q1,49
VISA-0000192,1666483200000000000,2022-12-23,Australia,Work,Sydney,10,2022,Autumn,61,6,0,Q4,61
VISA-0000193,1760745600000000000,2025-11-20,Brazil,Tourist,Berlin,10,2025,Autumn,33,5,0,Q4,33
VISA-0000194,1623196800000000000,2021-08-21,France,Student,London,6,2021,Summer,73,2,1,Q2,73
VISA-0000195,1663459200000000000,2022-11-05,Brazil,Student,Chennai,9,2022,Autumn,48,6,0,Q3,48
VISA-0000196,1628035200000000000,2021-09-07,France,Tourist,Berlin,8,2021,Summer,34,2,1,Q3,34
VISA-0000197,1662854400000000000,2022-11-20,Philippines,Work,Johannesburg,9,2022,Autumn,70,6,0,Q3,70
VISA-0000198,1761091200000000000,2025-11-16,Unknown,Tourist,Ottawa,10,2025,Autumn,25,2,0,Q4,25
VISA-0000199,1667174400000000000,2022-12-19,Canada,Student,Johannesburg,10,2022,Autumn,49,0,0,Q4,49
VISA-0000200,1752710400000000000,2025-08-26,UK,Tourist,Chennai,7,2025,Summer,40,3,1,Q3,40
VISA-0000201,1687478400000000000,2023-08-17,Canada,Student,Singapore,6,2023,Summer,55,4,1,Q2,55
VISA-0000202,1719705600000000000,2024-08-04,Mexico,Tourist,Johannesburg,6,2024,Summer,35,6,1,Q2,35
VISA-0000203,1681516800000000000,2023-06-04,Pakistan,Student,London,4,2023,Spring,50,5,0,Q2,50
VISA-0000204,1651363200000000000,2022-06-27,Mexico,Student,Mumbai,5,2022,Spring,57,6,0,Q2,57
VISA-0000205,1729900800000000000,2024-11-29,China,Dependent,Berlin,10,2024,Autumn,34,5,0,Q4,34
VISA-0000206,1762214400000000000,2025-12-21,Bangladesh,Student,Singapore,11,2025,Autumn,47,1,0,Q4,47
VISA-0000207,1650931200000000000,2022-06-02,UK,Business,New Delhi,4,2022,Spring,37,1,0,Q2,37
VISA-0000208,1732233600000000000,2024-12-02,Germany,Tourist,Berlin,11,2024,Autumn,10,4,0,Q4,10
VISA-0000209,1650585600000000000,2022-06-03,Kenya,Student,Singapore,4,2022,Spring,42,4,0,Q2,42
VISA-0000210,1722470400000000000,2024-09-16,China,Tourist,New Delhi,8,2024,Summer,46,3,1,Q3,46
VISA-0000211,1733788800000000000,2025-02-02,Nigeria,Unknown,Sydney,12,2024,Winter,54,1,1,Q4,54
VISA-0000212,1680307200000000000,2023-05-21,Mexico,Work,New Delhi,4,2023,Spring,50,5,0,Q2,50
VISA-0000213,1725580800000000000,2024-10-20,Australia,Dependent,Mumbai,9,2024,Autumn,44,4,0,Q3,44
VISA-0000214,1652313600000000000,2022-07-23,Pakistan,Work,Sydney,5,2022,Spring,72,3,0,Q2,72
VISA-0000215,1621900800000000000,2021-07-18,China,Work,London,5,2021,Spring,54,1,0,Q2,54
VISA-0000216,1624579200000000000,2021-08-24,UK,Tourist,New Delhi,6,2021,Summer,60,4,1,Q2,60
VISA-0000217,1679875200000000000,2023-04-29,India,Tourist,Paris,3,2023,Spring,33,0,0,Q1,33
VISA-0000218,1751760000000000000,2025-08-13,Mexico,Business,Chennai,7,2025,Summer,38,6,1,Q3,38
VISA-0000219,1629504000000000000,2021-09-28,Germany,Tourist,Singapore,8,2021,Summer,38,5,1,Q3,38
VISA-0000220,1681257600000000000,2023-06-15,Pakistan,Tourist,Mumbai,4,2023,Spring,64,2,0,Q2,64
VISA-0000221,1720396800000000000,2024-08-21,Germany,Dependent,Sydney,7,2024,Summer,44,0,1,Q3,44
VISA-0000222,1641340800000000000,2022-01-26,Pakistan,Transit,Berlin,1,2022,Winter,21,2,0,Q1,21
VISA-0000223,1723161600000000000,2024-10-13,France,Work,Sydney,8,2024,Summer,65,4,1,Q3,65
VISA-0000224,1657670400000000000,2022-09-15,Pakistan,Student,Ottawa,7,2022,Summer,64,2,1,Q3,64
VISA-0000225,1736899200000000000,2025-04-08,India,Dependent,Paris,1,2025,Winter,83,2,0,Q1,83
VISA-0000226,1700784000000000000,2023-12-28,India,Tourist,New Delhi,11,2023,Autumn,34,4,0,Q4,34
VISA-0000227,1695686400000000000,2023-12-29,Germany,Student,Singapore,9,2023,Autumn,94,1,0,Q3,94
VISA-0000228,1637280000000000000,2022-01-24,India,Student,Berlin,11,2021,Autumn,66,4,0,Q4,66
VISA-0000229,1682467200000000000,2023-06-13,Nigeria,Dependent,Paris,4,2023,Spring,48,2,0,Q2,48
VISA-0000230,1744502400000000000,2025-05-13,India,Dependent,Ottawa,4,2025,Spring,30,6,0,Q2,30
VISA-0000231,1612483200000000000,2021-04-16,Brazil,Work,Ottawa,2,2021,Winter,70,4,0,Q1,70
VISA-0000232,1729036800000000000,2024-11-23,Bangladesh,Tourist,Dubai,10,2024,Autumn,38,2,0,Q4,38
VISA-0000233,1687132800000000000,2023-08-07,Canada,Student,Unknown,6,2023,Summer,49,0,1,Q2,49
VISA-0000234,1722902400000000000,2024-09-11,Philippines,Tourist,Johannesburg,8,2024,Summer,36,1,1,Q3,36
VISA-0000235,1714003200000000000,2024-06-05,Kenya,Dependent,Singapore,4,2024,Spring,41,3,0,Q2,41
VISA-0000236,1677542400000000000,2023-04-11,India,Tourist,New Delhi,2,2023,Winter,42,1,0,Q1,42
VISA-0000237,1658102400000000000,2022-09-12,India,Tourist,Mumbai,7,2022,Summer,56,0,1,Q3,56
VISA-0000238,1708300800000000000,2024-04-20,Mexico,Work,Johannesburg,2,2024,Winter,61,0,0,Q1,61
VISA-0000239,1631491200000000000,2021-11-03,France,Student,Ottawa,9,2021,Autumn,51,0,0,Q3,51
VISA-0000240,1701475200000000000,2024-02-03,Nigeria,Dependent,Dubai,12,2023,Winter,63,5,1,Q4,63
