case_status,application_date,decision_date,processing_office,applicant_country,applicant_age,education_level,job_title,occupation_category,prevailing_wage,wage_category,full_time_position,processing_time,season
W,2022-06-15,2022-08-05,POTOMAC SERVICE CENTER,INDIA,46.0,MASTER'S,RESEARCH ASSOCIATE,IT,18.49,LOW,Y,51,Summer
C,2022-10-26,2022-12-07,NEBRASKA SERVICE CENTER,INDIA,44.0,DOCTORATE,DENTIST,MEDICAL,116522.0,HIGH,Y,42,Fall
CW,2022-01-12,2022-01-26,VERMONT SERVICE CENTER,CHINA,52.0,MASTER'S,INSTRUCTOR,MEDICAL,37149.0,LOW,Y,14,Winter
C,2022-05-15,2022-06-25,NEBRASKA SERVICE CENTER,CANADA,41.0,MASTER'S,QUALITY CONTROL DENTIST - NON CLINICAL (CHART AUDITOR),ENGINEERING,49421.0,LOW,N,41,Spring
CW,2022-08-17,2022-09-21,VERMONT SERVICE CENTER,MEXICO,40.0,MASTER'S,RESEARCH ASSOCIATE,FINANCE,25979.0,LOW,Y,35,Summer
C,2022-09-25,2022-10-29,TEXAS SERVICE CENTER,CHINA,26.0,MASTER'S,NURSING INSTRUCTOR,IT,60307.0,MEDIUM,Y,34,Fall
C,2022-01-15,2022-02-05,TEXAS SERVICE CENTER,INDIA,45.0,BACHELOR'S,OCCUPATIONAL THERAPIST,IT,33.49,LOW,Y,21,Winter
C,2022-12-19,2023-01-19,POTOMAC SERVICE CENTER,INDIA,56.0,BACHELOR'S,QUALITY ASSURANCE ANALYST & TESTER,IT,65478.0,MEDIUM,N,31,Winter
C,2022-06-28,2022-07-10,CALIFORNIA SERVICE CENTER,CANADA,41.0,MASTER'S,PHYSICAL THERAPIST,IT,32.02,LOW,Y,12,Summer
C,2022-06-16,2022-08-02,POTOMAC SERVICE CENTER,SOUTH KOREA,41.0,MASTER'S,PROCESS ENGINEER III,IT,69888.0,MEDIUM,Y,47,Summer
C,2022-08-07,2022-09-02,POTOMAC SERVICE CENTER,CHINA,38.0,BACHELOR'S,PROJECT ENGINEER,FINANCE,50960.0,LOW,Y,26,Summer
C,2022-01-22,2022-02-11,VERMONT SERVICE CENTER,PHILIPPINES,55.0,MASTER'S,ASSISTANT PROFESSOR,OTHER,41590.0,LOW,Y,20,Winter
C,2022-06-26,2022-07-15,VERMONT SERVICE CENTER,PHILIPPINES,49.0,MASTER'S,DENTIST,IT,116522.0,HIGH,Y,19,Summer
C,2022-04-29,2022-06-08,CALIFORNIA SERVICE CENTER,INDIA,30.0,DOCTORATE,PHYSICAL THERAPIST,IT,32.02,LOW,N,40,Spring
C,2022-07-20,2022-09-01,VERMONT SERVICE CENTER,PHILIPPINES,36.0,MASTER'S,NETWORK & COMPUTER SYSTEMS ADMINISTRATOR,MEDICAL,22.85,LOW,N,43,Summer
C,2022-10-25,2022-11-25,VERMONT SERVICE CENTER,INDIA,45.0,BACHELOR'S,FINANCE MANAGER,IT,105518.0,HIGH,Y,31,Fall
C,2022-03-19,2022-05-05,NEBRASKA SERVICE CENTER,INDIA,54.0,BACHELOR'S,HOSPITALIST,IT,163821.0,HIGH,Y,47,Spring
C,2022-12-21,2023-02-03,NEBRASKA SERVICE CENTER,CHINA,24.0,BACHELOR'S,"MEDICAL INTERN (PGY 1), INTERNAL MEDICINE",IT,55630.0,LOW,Y,44,Winter
C,2022-08-20,2022-10-17,POTOMAC SERVICE CENTER,INDIA,56.0,MASTER'S,ASSISTANT PROFESSOR,FINANCE,22410.0,LOW,Y,58,Summer
C,2022-06-05,2022-06-27,POTOMAC SERVICE CENTER,INDIA,57.0,BACHELOR'S,"UPPER YEAR MEDICAL RESIDENT (PGY 2-3), INTERNAL MEDICINE",IT,57432.0,LOW,Y,22,Summer
C,2022-04-18,2022-06-14,TEXAS SERVICE CENTER,PHILIPPINES,59.0,MASTER'S,"CHIEF RESIDENT (PGY 4), INTERNAL MEDICINE",IT,62662.0,MEDIUM,Y,57,Spring
CW,2022-05-17,2022-05-28,CALIFORNIA SERVICE CENTER,INDIA,52.0,DOCTORATE,"PHYSICIAN, HOSPITALIST",ENGINEERING,84302.0,MEDIUM,Y,11,Spring
C,2022-12-14,2023-01-18,POTOMAC SERVICE CENTER,SOUTH KOREA,23.0,MASTER'S,"UPPER YEAR MEDICAL RESIDENT (PGY 2-3), INTERNAL MEDICINE",ENGINEERING,57432.0,LOW,Y,35,Winter
C,2022-06-05,2022-06-20,VERMONT SERVICE CENTER,INDIA,49.0,MASTER'S,ACCOUNTANT,IT,47674.0,LOW,Y,15,Summer
C,2022-12-13,2022-12-25,NEBRASKA SERVICE CENTER,INDIA,43.0,MASTER'S,"MEDICAL RESIDENT (PGY 1), INTERNAL MEDICINE",IT,55630.0,LOW,Y,12,Winter
C,2022-02-14,2022-03-16,POTOMAC SERVICE CENTER,INDIA,59.0,MASTER'S,PRE-DOCTORAL FELLOW,IT,26440.0,LOW,Y,30,Winter
C,2022-05-16,2022-06-09,POTOMAC SERVICE CENTER,CHINA,48.0,BACHELOR'S,ENGINEER,ENGINEERING,58510.0,LOW,Y,24,Spring
C,2022-12-22,2023-01-16,NEBRASKA SERVICE CENTER,INDIA,49.0,MASTER'S,SENIOR SYSTEMS ANALYST JC60,IT,86632.0,MEDIUM,Y,25,Winter
C,2022-05-03,2022-05-22,POTOMAC SERVICE CENTER,INDIA,59.0,BACHELOR'S,"MANAGER, ENGINEERING PROJECTS",IT,105352.0,HIGH,Y,19,Spring
C,2022-08-24,2022-10-17,POTOMAC SERVICE CENTER,INDIA,48.0,BACHELOR'S,RESEARCH ASSISTANT PATHOLOGY,IT,50128.0,LOW,Y,54,Summer
C,2022-04-29,2022-06-11,CALIFORNIA SERVICE CENTER,INDIA,23.0,MASTER'S,PRACTICE MANAGER,IT,122491.0,HIGH,Y,43,Spring
C,2022-04-03,2022-04-15,TEXAS SERVICE CENTER,INDIA,30.0,MASTER'S,SR. CONSULTANT,EDUCATION,69888.0,MEDIUM,Y,12,Spring
C,2022-07-28,2022-09-04,TEXAS SERVICE CENTER,CHINA,41.0,MASTER'S,COMPUTER PROGRAMMER,ENGINEERING,84053.0,MEDIUM,Y,38,Summer
C,2022-02-21,2022-03-03,NEBRASKA SERVICE CENTER,INDIA,24.0,BACHELOR'S,SOFTWARE ENGINEER,IT,67829.0,MEDIUM,Y,10,Winter
C,2022-06-08,2022-07-07,TEXAS SERVICE CENTER,INDIA,55.0,BACHELOR'S,PRACTICE MANAGER,FINANCE,94453.0,MEDIUM,Y,29,Summer
C,2022-08-16,2022-10-09,POTOMAC SERVICE CENTER,INDIA,22.0,MASTER'S,TECHNO-FUNCTIONAL CONSULTANT,MEDICAL,68390.0,MEDIUM,Y,54,Summer
C,2022-05-26,2022-06-10,POTOMAC SERVICE CENTER,INDIA,31.0,MASTER'S,"SOFTWARE DEVELOPERS, APPLICATIONS",ENGINEERING,68390.0,MEDIUM,Y,15,Spring
C,2022-10-20,2022-11-04,VERMONT SERVICE CENTER,INDIA,42.0,MASTER'S,TECHNICAL SOLUTIONS ENGINEER,IT,66123.0,MEDIUM,Y,15,Fall
C,2022-12-26,2023-02-17,TEXAS SERVICE CENTER,MEXICO,59.0,MASTER'S,DSP SYSTEMS SOFTWARE ENGINEER,MEDICAL,68390.0,MEDIUM,Y,53,Winter
C,2022-12-10,2022-12-30,CALIFORNIA SERVICE CENTER,INDIA,48.0,MASTER'S,STAFF CONSULTANT,IT,63710.0,MEDIUM,N,20,Winter
C,2022-03-15,2022-05-11,CALIFORNIA SERVICE CENTER,INDIA,48.0,MASTER'S,STAFF CONSULTANT,IT,78603.0,MEDIUM,Y,57,Spring
C,2022-10-04,2022-10-27,TEXAS SERVICE CENTER,INDIA,46.0,MASTER'S,SENIOR SOFTWARE DEVELOPER,IT,88067.0,MEDIUM,Y,23,Fall
C,2022-09-20,2022-11-12,POTOMAC SERVICE CENTER,INDIA,35.0,BACHELOR'S,COMPUTER PROGRAMMER,MEDICAL,67496.0,MEDIUM,Y,53,Fall
C,2022-05-23,2022-06-11,VERMONT SERVICE CENTER,INDIA,34.0,BACHELOR'S,STAFF CONSULTANT,ENGINEERING,63710.0,MEDIUM,Y,19,Spring
C,2022-04-21,2022-05-10,POTOMAC SERVICE CENTER,INDIA,41.0,MASTER'S,"SENIOR SOFTWARE ENGINEER, GATEWAY",IT,88067.0,MEDIUM,Y,19,Spring
C,2022-01-02,2022-01-14,POTOMAC SERVICE CENTER,INDIA,55.0,BACHELOR'S,SR. CONSULTANT,IT,69888.0,MEDIUM,Y,12,Winter
C,2022-07-25,2022-08-21,TEXAS SERVICE CENTER,CHINA,49.0,MASTER'S,SENIOR CONSULTANT,ENGINEERING,63710.0,MEDIUM,Y,27,Summer
C,2022-12-12,2023-01-24,CALIFORNIA SERVICE CENTER,INDIA,32.0,MASTER'S,SENIOR SOFTWARE ENGINEER,FINANCE,88067.0,MEDIUM,Y,43,Winter
C,2022-11-09,2022-12-19,CALIFORNIA SERVICE CENTER,INDIA,27.0,MASTER'S,PRINCIPLE CONSULTANT,EDUCATION,68390.0,MEDIUM,N,40,Fall
C,2022-07-02,2022-08-05,CALIFORNIA SERVICE CENTER,INDIA,34.0,BACHELOR'S,SENIOR CLOUD ADMIN,IT,55182.0,LOW,Y,34,Summer
C,2022-06-08,2022-07-14,NEBRASKA SERVICE CENTER,INDIA,47.0,MASTER'S,SOFTWARE QUALITY ASSURANCE ENGINEER,IT,74818.0,MEDIUM,Y,36,Summer
C,2022-12-29,2023-01-28,POTOMAC SERVICE CENTER,INDIA,51.0,BACHELOR'S,VALIDATION ENGINEER,IT,68494.0,MEDIUM,Y,30,Winter
C,2022-06-20,2022-08-16,TEXAS SERVICE CENTER,INDIA,39.0,MASTER'S,PRINCIPLE CONSULTANT,ENGINEERING,63710.0,MEDIUM,N,57,Summer
C,2022-05-09,2022-05-22,NEBRASKA SERVICE CENTER,INDIA,46.0,MASTER'S,SENIOR CLOUD ADMIN,IT,55182.0,LOW,Y,13,Spring
C,2022-11-16,2023-01-02,CALIFORNIA SERVICE CENTER,CHINA,50.0,MASTER'S,STAFF CONSULTANT,IT,63710.0,MEDIUM,Y,47,Fall
C,2022-08-11,2022-08-26,NEBRASKA SERVICE CENTER,INDIA,59.0,MASTER'S,SENIOR TECHNICAL LEADER,IT,109075.0,HIGH,Y,15,Summer
C,2022-02-20,2022-04-21,VERMONT SERVICE CENTER,INDIA,25.0,MASTER'S,"SOFTWARE DEVELOPERS, APPLICATIONS",IT,68390.0,MEDIUM,Y,60,Winter
C,2022-12-08,2023-01-27,TEXAS SERVICE CENTER,INDIA,39.0,BACHELOR'S,STAFF CONSULTANT,IT,63710.0,MEDIUM,N,50,Winter
C,2022-05-02,2022-05-18,TEXAS SERVICE CENTER,CHINA,22.0,MASTER'S,SOFTWARE ENGINEER,IT,88067.0,MEDIUM,Y,16,Spring
C,2022-04-16,2022-05-10,TEXAS SERVICE CENTER,PHILIPPINES,27.0,MASTER'S,PROGRAMMER ANALYST,ENGINEERING,63710.0,MEDIUM,Y,24,Spring
C,2022-09-23,2022-11-11,NEBRASKA SERVICE CENTER,SOUTH KOREA,49.0,BACHELOR'S,SOFTWARE QUALITY ASSURANCE ENGINEER,IT,74818.0,MEDIUM,Y,49,Fall
C,2022-07-09,2022-08-24,CALIFORNIA SERVICE CENTER,INDIA,31.0,MASTER'S,"SOFTWARE ENGINEER, VALUE ADDED SERVICES",IT,68390.0,MEDIUM,Y,46,Summer
C,2022-01-14,2022-02-04,POTOMAC SERVICE CENTER,INDIA,34.0,BACHELOR'S,SENIOR CONSULTANT,ENGINEERING,63710.0,MEDIUM,Y,21,Winter
C,2022-10-08,2022-10-29,POTOMAC SERVICE CENTER,CHINA,22.0,BACHELOR'S,IM SOFTWARE ENGINEER MANAGER,ENGINEERING,127941.0,HIGH,Y,21,Fall
D,2022-11-02,2022-12-20,NEBRASKA SERVICE CENTER,INDIA,53.0,BACHELOR'S,TECHNO-FUNCTIONAL CONSULTANT,IT,88067.0,MEDIUM,Y,48,Fall
C,2022-01-07,2022-01-19,TEXAS SERVICE CENTER,INDIA,48.0,MASTER'S,STAFF CONSULTANT,OTHER,63710.0,MEDIUM,Y,12,Winter
C,2022-12-02,2023-01-08,CALIFORNIA SERVICE CENTER,INDIA,41.0,MASTER'S,STAFF CONSULTANT,IT,63710.0,MEDIUM,Y,37,Winter
C,2022-08-27,2022-10-04,TEXAS SERVICE CENTER,INDIA,49.0,MASTER'S,TECHNICAL LEADER,ENGINEERING,93475.0,MEDIUM,Y,38,Summer
C,2022-04-16,2022-05-09,POTOMAC SERVICE CENTER,CHINA,55.0,BACHELOR'S,SOFTWARE DEVELOPER,IT,68390.0,MEDIUM,Y,23,Spring
C,2022-12-30,2023-01-16,CALIFORNIA SERVICE CENTER,INDIA,51.0,BACHELOR'S,"RESEARCH, DEVELOPMENT & PRODUCTS STAFF ENGINEER",IT,58926.0,LOW,Y,17,Winter
C,2022-04-09,2022-04-24,VERMONT SERVICE CENTER,INDIA,22.0,BACHELOR'S,SR. CONSULTANT,IT,87859.0,MEDIUM,Y,15,Spring
C,2022-07-30,2022-08-19,NEBRASKA SERVICE CENTER,CANADA,37.0,MASTER'S,SENIOR BUSINESS ANALYST,ENGINEERING,104562.0,HIGH,Y,20,Summer
C,2022-01-23,2022-02-16,TEXAS SERVICE CENTER,INDIA,41.0,MASTER'S,SENIOR SOFTWARE ENGINEER,IT,78603.0,MEDIUM,Y,24,Winter
CW,2022-10-13,2022-11-18,POTOMAC SERVICE CENTER,SOUTH KOREA,40.0,BACHELOR'S,SENIOR CONSULTANT,ENGINEERING,58989.0,LOW,Y,36,Fall
CW,2022-08-04,2022-09-25,POTOMAC SERVICE CENTER,INDIA,39.0,MASTER'S,STAFF CONSULTANT,ENGINEERING,58989.0,LOW,Y,52,Summer
C,2022-06-24,2022-07-13,POTOMAC SERVICE CENTER,INDIA,32.0,BACHELOR'S,"SOFTWARE ENGINEER, JAVA WEB APP DEVELOPER",ENGINEERING,68390.0,MEDIUM,N,19,Summer
CW,2022-01-29,2022-03-07,CALIFORNIA SERVICE CENTER,INDIA,36.0,MASTER'S,STAFF CONSULTANT,IT,58989.0,LOW,Y,37,Winter
C,2022-06-12,2022-07-12,NEBRASKA SERVICE CENTER,INDIA,23.0,BACHELOR'S,COMPUTER PROGRAMMER,IT,67496.0,MEDIUM,Y,30,Summer
W,2022-08-13,2022-10-12,TEXAS SERVICE CENTER,CHINA,24.0,MASTER'S,HILL ROM INC,IT,68494.0,MEDIUM,Y,60,Summer
C,2022-09-12,2022-10-20,POTOMAC SERVICE CENTER,INDIA,35.0,MASTER'S,PRINCIPAL SOFTWARE ENGINEER,FINANCE,107744.0,HIGH,Y,38,Fall
C,2022-12-14,2023-01-11,NEBRASKA SERVICE CENTER,INDIA,41.0,BACHELOR'S,STAFF CONSULTANT,FINANCE,67496.0,MEDIUM,Y,28,Winter
C,2022-10-23,2022-11-17,POTOMAC SERVICE CENTER,INDIA,58.0,MASTER'S,SOFTWARE ENGINEER - EMS DESIGN AND DEVELOPMENT,MEDICAL,68390.0,MEDIUM,Y,25,Fall
C,2022-06-27,2022-07-20,POTOMAC SERVICE CENTER,INDIA,34.0,MASTER'S,LEAD ANALYST,IT,78603.0,MEDIUM,Y,23,Summer
C,2022-10-14,2022-12-10,POTOMAC SERVICE CENTER,CANADA,42.0,MASTER'S,MOBILE PERFORMANCE SOFTWARE ENGINEER,IT,68390.0,MEDIUM,Y,57,Fall
C,2022-11-14,2023-01-09,POTOMAC SERVICE CENTER,CHINA,55.0,MASTER'S,"SOFTWARE ENGINEER, WIRELESS WIFI",IT,81390.0,MEDIUM,Y,56,Fall
C,2022-11-27,2022-12-15,CALIFORNIA SERVICE CENTER,INDIA,24.0,MASTER'S,STAFF CONSULTANT,IT,63710.0,MEDIUM,Y,18,Fall
C,2022-06-18,2022-08-10,CALIFORNIA SERVICE CENTER,CHINA,56.0,MASTER'S,COMPUTER PROGRAMMER,IT,67496.0,MEDIUM,Y,53,Summer
C,2022-10-28,2022-11-07,NEBRASKA SERVICE CENTER,INDIA,43.0,BACHELOR'S,SR. PRINCIPAL CONSULTANT,OTHER,107890.0,HIGH,N,10,Fall
C,2022-07-01,2022-08-21,POTOMAC SERVICE CENTER,CANADA,51.0,MASTER'S,DATABASE ARCHITECT,IT,56472.0,LOW,N,51,Summer
C,2022-01-26,2022-02-22,POTOMAC SERVICE CENTER,INDIA,41.0,MASTER'S,SENIOR SUSTAINING ENGINEER,IT,87859.0,MEDIUM,Y,27,Winter
C,2022-08-02,2022-08-25,VERMONT SERVICE CENTER,PHILIPPINES,56.0,BACHELOR'S,"SOFTWARE DEVELOPERS, APPLICATIONS",IT,68390.0,MEDIUM,Y,23,Summer
C,2022-04-02,2022-05-26,POTOMAC SERVICE CENTER,INDIA,48.0,MASTER'S,SR. PROGRAMMER ANALYST,IT,78603.0,MEDIUM,Y,54,Spring
CW,2022-03-15,2022-04-19,TEXAS SERVICE CENTER,INDIA,48.0,MASTER'S,MANAGING PRINCIPAL,OTHER,74402.0,MEDIUM,Y,35,Spring
C,2022-09-02,2022-10-18,VERMONT SERVICE CENTER,INDIA,54.0,BACHELOR'S,SR. SOFTWARE ENGINEER,IT,98093.0,MEDIUM,Y,46,Fall
CW,2022-11-06,2022-12-01,NEBRASKA SERVICE CENTER,INDIA,34.0,MASTER'S,SR. CONSULTANT,IT,58989.0,LOW,N,25,Fall
C,2022-04-03,2022-05-11,VERMONT SERVICE CENTER,CANADA,57.0,MASTER'S,STAFF CONSULTANT,OTHER,63710.0,MEDIUM,Y,38,Spring
CW,2022-11-11,2022-12-25,NEBRASKA SERVICE CENTER,INDIA,36.0,BACHELOR'S,STAFF CONSULTANT,IT,58989.0,LOW,Y,44,Fall
C,2022-07-07,2022-09-03,POTOMAC SERVICE CENTER,INDIA,24.0,BACHELOR'S,MARKETING SPECIALIST,IT,59072.0,LOW,N,58,Summer
CW,2022-07-20,2022-08-15,POTOMAC SERVICE CENTER,INDIA,38.0,DOCTORATE,IM SOFTWARE ENGINEER MANAGER,IT,127941.0,HIGH,Y,26,Summer
C,2022-12-11,2023-02-09,CALIFORNIA SERVICE CENTER,INDIA,58.0,MASTER'S,SENIOR ENGINEER,IT,92227.0,MEDIUM,Y,60,Winter
C,2022-04-18,2022-05-07,VERMONT SERVICE CENTER,CHINA,24.0,MASTER'S,STAFF CONSULTANT,MEDICAL,67496.0,MEDIUM,Y,19,Spring
C,2022-10-14,2022-11-20,POTOMAC SERVICE CENTER,INDIA,26.0,BACHELOR'S,STAFF CONSULTANT,OTHER,63710.0,MEDIUM,Y,37,Fall
CW,2022-01-04,2022-02-02,POTOMAC SERVICE CENTER,INDIA,46.0,MASTER'S,SENIOR CONSULTANT,IT,58989.0,LOW,Y,29,Winter
C,2022-06-17,2022-06-27,CALIFORNIA SERVICE CENTER,INDIA,41.0,MASTER'S,SR. CONSULTANT,IT,69888.0,MEDIUM,Y,10,Summer
CW,2022-11-30,2022-12-24,NEBRASKA SERVICE CENTER,INDIA,54.0,MASTER'S,SENIOR CONSULTANT,EDUCATION,58989.0,LOW,Y,24,Fall
C,2022-12-22,2023-01-06,POTOMAC SERVICE CENTER,INDIA,54.0,MASTER'S,SOFTWARE DEVELOPER - APPLICATIONS,IT,88067.0,MEDIUM,Y,15,Winter
C,2022-03-12,2022-04-19,POTOMAC SERVICE CENTER,INDIA,34.0,MASTER'S,COMPUTER PROGRAMMER,IT,67496.0,MEDIUM,Y,38,Spring
C,2022-12-11,2023-01-16,VERMONT SERVICE CENTER,INDIA,51.0,MASTER'S,SENIOR DBA,IT,55182.0,LOW,Y,36,Winter
C,2022-01-11,2022-01-28,NEBRASKA SERVICE CENTER,INDIA,55.0,DOCTORATE,STAFF CONSULTANT,IT,63710.0,MEDIUM,Y,17,Winter
C,2022-11-21,2022-12-23,TEXAS SERVICE CENTER,INDIA,49.0,MASTER'S,SENIOR DBA,IT,55182.0,LOW,Y,32,Fall
C,2022-06-30,2022-08-22,POTOMAC SERVICE CENTER,INDIA,34.0,BACHELOR'S,LEAD ANALYST,IT,78603.0,MEDIUM,Y,53,Summer
C,2022-12-31,2023-02-21,POTOMAC SERVICE CENTER,CHINA,47.0,MASTER'S,PRINCIPLE CONSULTANT,OTHER,68390.0,MEDIUM,Y,52,Winter
CW,2022-05-28,2022-07-13,POTOMAC SERVICE CENTER,INDIA,22.0,MASTER'S,STAFF CONSULTANT,FINANCE,58989.0,LOW,Y,46,Spring
CW,2022-01-19,2022-02-22,NEBRASKA SERVICE CENTER,INDIA,52.0,BACHELOR'S,SENIOR CONSULTANT,ENGINEERING,68390.0,MEDIUM,Y,34,Winter
C,2022-03-23,2022-05-07,POTOMAC SERVICE CENTER,INDIA,41.0,MASTER'S,SENIOR CONSULTANT,IT,63710.0,MEDIUM,Y,45,Spring
