applicant_age,full_time_position,processing_time,wage_category_encoded,education_level_encoded,processing_office_NEBRASKA SERVICE CENTER,processing_office_POTOMAC SERVICE CENTER,processing_office_TEXAS SERVICE CENTER,processing_office_VERMONT SERVICE CENTER,applicant_country_CHINA,applicant_country_INDIA,applicant_country_MEXICO,applicant_country_PHILIPPINES,applicant_country_SOUTH KOREA,case_status_CW,case_status_D,case_status_W,season_Spring,season_Summer,season_Winter,occupation_category_ENGINEERING,occupation_category_FINANCE,occupation_category_IT,occupation_category_MEDICAL,occupation_category_OTHER
24.0,1,44,0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
56.0,1,58,0,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
57.0,1,22,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
59.0,1,57,1,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
52.0,1,11,1,3,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False
23.0,1,35,0,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
49.0,1,15,0,2,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
43.0,1,12,0,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
59.0,1,30,0,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
48.0,1,24,0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
49.0,1,25,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
59.0,1,19,2,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
48.0,1,54,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
23.0,1,43,2,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
30.0,1,12,1,2,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
41.0,1,38,1,2,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
24.0,1,10,1,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
55.0,1,29,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
22.0,1,54,1,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
31.0,1,15,1,2,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
42.0,1,15,1,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
59.0,1,53,1,2,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
48.0,0,20,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
48.0,1,57,1,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
46.0,1,23,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35.0,1,53,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
34.0,1,19,1,1,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
41.0,1,19,1,2,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
55.0,1,12,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
49.0,1,27,1,2,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
32.0,1,43,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
27.0,0,40,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34.0,1,34,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
47.0,1,36,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
51.0,1,30,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
39.0,0,57,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
46.0,1,13,0,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
50.0,1,47,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
59.0,1,15,2,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
25.0,1,60,1,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
39.0,0,50,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
22.0,1,16,1,2,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
27.0,1,24,1,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
49.0,1,49,1,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
31.0,1,46,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
34.0,1,21,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
22.0,1,21,2,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
53.0,1,48,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
48.0,1,12,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
41.0,1,37,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
49.0,1,38,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
55.0,1,23,1,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
51.0,1,17,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
22.0,1,15,1,1,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
37.0,1,20,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
41.0,1,24,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
40.0,1,36,0,1,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
39.0,1,52,0,2,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
32.0,0,19,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
36.0,1,37,0,2,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
23.0,1,30,1,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
24.0,1,60,1,2,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
35.0,1,38,2,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
41.0,1,28,1,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
58.0,1,25,1,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
34.0,1,23,1,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
42.0,1,57,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
55.0,1,56,1,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
24.0,1,18,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
56.0,1,53,1,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
43.0,0,10,2,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
51.0,0,51,0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
41.0,1,27,1,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
56.0,1,23,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
48.0,1,54,1,2,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
48.0,1,35,1,2,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
54.0,1,46,1,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
34.0,0,25,0,2,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
57.0,1,38,1,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
36.0,1,44,0,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
24.0,0,58,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
38.0,1,26,2,3,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
58.0,1,60,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
24.0,1,19,1,2,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
26.0,1,37,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
46.0,1,29,0,2,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
41.0,1,10,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
54.0,1,24,0,2,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
54.0,1,15,1,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
34.0,1,38,1,2,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
51.0,1,36,0,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
55.0,1,17,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
49.0,1,32,0,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
34.0,1,53,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
47.0,1,52,1,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
22.0,1,46,0,2,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
52.0,1,34,1,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False
41.0,1,45,1,2,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
39.0,1,14,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
58.0,1,14,1,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
45.0,1,55,0,2,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
40.0,1,46,0,1,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
32.0,1,15,1,2,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
48.0,1,55,1,2,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
41.0,1,12,1,1,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
42.0,1,18,1,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
51.0,1,28,1,2,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
43.0,0,49,0,2,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
44.0,1,17,1,2,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
23.0,1,60,0,2,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
32.0,1,14,0,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
25.0,1,13,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
41.0,1,25,1,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
31.0,1,60,0,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
35.0,1,21,1,2,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
42.0,0,21,0,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
49.0,1,53,2,1,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
47.0,1,35,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
43.0,1,27,0,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
58.0,1,48,1,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24.0,1,52,1,2,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
38.0,1,57,0,1,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
32.0,1,40,0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
52.0,1,58,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
56.0,1,45,2,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
25.0,0,42,1,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
35.0,1,30,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
45.0,1,35,0,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
42.0,1,58,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
48.0,1,50,0,2,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
48.0,1,14,1,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
42.0,1,46,1,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
41.0,1,33,1,2,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
25.0,1,44,0,2,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
23.0,1,21,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
55.0,1,59,1,2,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
56.0,1,16,1,2,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
57.0,1,58,1,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
38.0,1,36,2,2,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
29.0,1,57,0,2,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
30.0,1,24,1,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
23.0,1,27,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
37.0,1,31,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
37.0,1,15,0,2,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
55.0,1,29,1,2,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
42.0,1,47,1,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
44.0,0,47,0,2,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False
37.0,1,51,1,2,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
24.0,1,41,1,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
41.0,1,29,0,2,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
42.0,1,55,0,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False
57.0,1,58,0,2,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
37.0,1,37,1,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
35.0,1,48,0,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False
50.0,1,12,1,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
57.0,1,47,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
43.0,1,39,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
53.0,1,53,0,2,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
41.0,1,52,1,2,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
53.0,1,31,2,2,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
41.0,0,30,0,2,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
33.0,0,39,1,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
48.0,1,25,1,2,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
52.0,1,20,2,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
44.0,1,30,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
24.0,1,60,2,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
41.0,0,32,0,1,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
42.0,1,21,2,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
32.0,1,27,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
54.0,0,37,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
54.0,1,52,0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
51.0,1,20,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
41.0,1,37,1,2,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
55.0,1,32,0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
39.0,1,22,0,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
28.0,1,46,0,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
23.0,1,10,0,2,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
50.0,1,28,0,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
46.0,1,25,0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
56.0,0,21,2,2,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
47.0,1,12,1,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
28.0,0,26,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
52.0,1,36,0,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
54.0,0,43,0,2,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
32.0,1,36,0,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
27.0,1,24,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
31.0,1,19,0,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
40.0,1,55,0,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
41.0,1,19,0,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41.0,1,10,0,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
25.0,1,56,0,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
41.0,1,20,0,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
56.0,1,42,2,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
42.0,1,45,0,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
25.0,1,17,0,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
44.0,0,39,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
52.0,0,28,0,2,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
30.0,0,38,2,2,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
41.0,1,10,1,2,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
41.0,1,11,1,2,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
38.0,1,49,1,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
41.0,1,15,2,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
45.0,1,51,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
