case_status,application_date,decision_date,processing_office,applicant_country,applicant_age,education_level,job_title,occupation_category,prevailing_wage,wage_category,full_time_position
D,29-10-2022,15-11-2022,POTOMAC SERVICE CENTER,INDIA,30,nan,ASSISTANT PROFESSOR OF NURSING,MEDICAL,60307,MEDIUM,Y
C,,,POTOMAC SERVICE CENTER,nan,,BACHELOR'S,ESL INSTRUCTIOR,IT,24340,LOW,Y
C,24-12-2022,18-01-2023,nan,nan,28,BACHELOR'S,PHYSICAL THERAPIST,FINANCE,66602,MEDIUM,Y
C,07-09-2022,03-11-2022,nan,INDIA,49,BACHELOR'S,CASE MANAGER,IT,29.21,LOW,N
C,21-05-2022,03-07-2022,TEXAS SERVICE CENTER,INDIA,26,MASTER'S,PHYSICAL THERAPIST,ENGINEERING,32.02,LOW,N
C,02-12-2022,20-12-2022,NEBRASKA SERVICE CENTER,INDIA,36,MASTER'S,FINANCE MANAGER,IT,85800,MEDIUM,Y
C,27-02-2022,10-04-2022,CALIFORNIA SERVICE CENTER,CHINA,58,BACHELOR'S,ASSISTANT PROFESSOR (PHARMACEUTICAL SCIENCES),FINANCE,40730,LOW,Y
C,06-10-2022,26-10-2022,VERMONT SERVICE CENTER,nan,52,MASTER'S,SENIOR APPLICATION DEVELOPER,ENGINEERING,70907,MEDIUM,Y
D,06-09-2022,17-09-2022,nan,MEXICO,54,MASTER'S,ESL INSTRUCTIOR,IT,24340,LOW,Y
C,10-08-2022,06-09-2022,nan,CHINA,30,MASTER'S,ACCOUNTANT,IT,24.92,LOW,Y
CW,20-06-2022,28-07-2022,TEXAS SERVICE CENTER,INDIA,22,BACHELOR'S,ACCOUNTANT,MEDICAL,24.92,LOW,Y
C,15-12-2022,08-01-2023,nan,INDIA,42,nan,QA TESTER,IT,24.64,LOW,Y
C,,,nan,INDIA,53,MASTER'S,RESEARCH ASSOCIATE,FINANCE,18.49,LOW,Y
C,07-09-2022,25-09-2022,TEXAS SERVICE CENTER,CHINA,37,MASTER'S,DENTIST,IT,56.02,LOW,N
C,30-12-2022,16-01-2023,VERMONT SERVICE CENTER,INDIA,53,BACHELOR'S,PHARMACY MANAGER,IT,44.55,LOW,Y
C,18-03-2022,10-05-2022,CALIFORNIA SERVICE CENTER,INDIA,23,MASTER'S,PHYSICAL THERAPIST,IT,66602,MEDIUM,Y
C,14-03-2022,12-04-2022,POTOMAC SERVICE CENTER,nan,,MASTER'S,ASSISTANT PROFESSOR OF NURSING,IT,60307,MEDIUM,Y
C,27-10-2022,07-12-2022,CALIFORNIA SERVICE CENTER,CANADA,24,BACHELOR'S,ASSISTANT ATHLETIC TRAINER,ENGINEERING,28930,LOW,Y
W,22-05-2022,03-06-2022,VERMONT SERVICE CENTER,CHINA,37,MASTER'S,PHYSICAL THERAPIST,IT,32.02,LOW,Y
CW,21-11-2022,12-01-2023,POTOMAC SERVICE CENTER,INDIA,44,BACHELOR'S,SENIOR RESEARCH ASSOCIATE/ SCIENTIST,IT,38875,LOW,Y
W,15-06-2022,05-08-2022,POTOMAC SERVICE CENTER,INDIA,46,MASTER'S,RESEARCH ASSOCIATE,IT,18.49,LOW,Y
C,26-10-2022,07-12-2022,NEBRASKA SERVICE CENTER,INDIA,44,DOCTORATE,DENTIST,MEDICAL,116522,HIGH,Y
CW,12-01-2022,26-01-2022,VERMONT SERVICE CENTER,CHINA,52,MASTER'S,INSTRUCTOR,MEDICAL,37149,LOW,Y
C,15-05-2022,25-06-2022,NEBRASKA SERVICE CENTER,CANADA,,MASTER'S,QUALITY CONTROL DENTIST - NON CLINICAL (CHART AUDITOR),ENGINEERING,49421,LOW,N
CW,17-08-2022,21-09-2022,VERMONT SERVICE CENTER,MEXICO,40,MASTER'S,RESEARCH ASSOCIATE,FINANCE,25979,LOW,Y
C,25-09-2022,29-10-2022,TEXAS SERVICE CENTER,CHINA,26,MASTER'S,NURSING INSTRUCTOR,IT,60307,MEDIUM,Y
C,15-01-2022,05-02-2022,TEXAS SERVICE CENTER,INDIA,45,BACHELOR'S,OCCUPATIONAL THERAPIST,IT,33.49,LOW,Y
C,19-12-2022,19-01-2023,POTOMAC SERVICE CENTER,INDIA,56,BACHELOR'S,QUALITY ASSURANCE ANALYST & TESTER,IT,65478,MEDIUM,N
C,28-06-2022,10-07-2022,CALIFORNIA SERVICE CENTER,CANADA,41,MASTER'S,PHYSICAL THERAPIST,IT,32.02,LOW,Y
C,16-06-2022,02-08-2022,POTOMAC SERVICE CENTER,SOUTH KOREA,,MASTER'S,PROCESS ENGINEER III,IT,69888,MEDIUM,Y
C,,,CALIFORNIA SERVICE CENTER,INDIA,40,nan,PHYSICAL THERAPIST,IT,32.02,LOW,Y
C,07-08-2022,02-09-2022,POTOMAC SERVICE CENTER,CHINA,38,BACHELOR'S,PROJECT ENGINEER,FINANCE,50960,LOW,Y
C,22-01-2022,11-02-2022,VERMONT SERVICE CENTER,PHILIPPINES,55,nan,ASSISTANT PROFESSOR,OTHER,41590,LOW,Y
C,26-06-2022,15-07-2022,VERMONT SERVICE CENTER,PHILIPPINES,49,MASTER'S,DENTIST,IT,116522,HIGH,Y
C,29-04-2022,08-06-2022,CALIFORNIA SERVICE CENTER,INDIA,30,DOCTORATE,PHYSICAL THERAPIST,IT,32.02,LOW,N
C,20-07-2022,01-09-2022,VERMONT SERVICE CENTER,PHILIPPINES,36,MASTER'S,NETWORK & COMPUTER SYSTEMS ADMINISTRATOR,MEDICAL,22.85,LOW,N
C,25-10-2022,25-11-2022,VERMONT SERVICE CENTER,INDIA,45,BACHELOR'S,FINANCE MANAGER,IT,105518,HIGH,Y
C,19-03-2022,05-05-2022,NEBRASKA SERVICE CENTER,INDIA,54,BACHELOR'S,HOSPITALIST,IT,163821,HIGH,Y
C,,,nan,INDIA,27,DOCTORATE,ASSOCIATE DENTIST,EDUCATION,101275,HIGH,Y
C,,,nan,PHILIPPINES,41,BACHELOR'S,"UPPER YEAR MEDICAL RESIDENT (PGY 2-3), INTERNAL MEDICINE",IT,57432,LOW,Y
C,21-12-2022,03-02-2023,NEBRASKA SERVICE CENTER,CHINA,24,BACHELOR'S,"MEDICAL INTERN (PGY 1), INTERNAL MEDICINE",IT,55630,LOW,Y
C,20-08-2022,17-10-2022,nan,INDIA,56,MASTER'S,ASSISTANT PROFESSOR,FINANCE,22410,LOW,Y
C,05-06-2022,27-06-2022,POTOMAC SERVICE CENTER,INDIA,57,BACHELOR'S,"UPPER YEAR MEDICAL RESIDENT (PGY 2-3), INTERNAL MEDICINE",IT,57432,LOW,Y
C,18-04-2022,14-06-2022,TEXAS SERVICE CENTER,PHILIPPINES,59,MASTER'S,"CHIEF RESIDENT (PGY 4), INTERNAL MEDICINE",IT,62662,MEDIUM,Y
CW,17-05-2022,28-05-2022,CALIFORNIA SERVICE CENTER,INDIA,52,DOCTORATE,"PHYSICIAN, HOSPITALIST",ENGINEERING,84302,MEDIUM,Y
C,14-12-2022,18-01-2023,nan,SOUTH KOREA,23,MASTER'S,"UPPER YEAR MEDICAL RESIDENT (PGY 2-3), INTERNAL MEDICINE",ENGINEERING,57432,LOW,Y
C,05-06-2022,20-06-2022,VERMONT SERVICE CENTER,INDIA,49,MASTER'S,ACCOUNTANT,IT,47674,LOW,Y
C,13-12-2022,25-12-2022,NEBRASKA SERVICE CENTER,nan,43,MASTER'S,"MEDICAL RESIDENT (PGY 1), INTERNAL MEDICINE",IT,55630,LOW,Y
C,14-02-2022,16-03-2022,POTOMAC SERVICE CENTER,INDIA,59,MASTER'S,PRE-DOCTORAL FELLOW,IT,26440,LOW,Y
C,16-05-2022,09-06-2022,nan,CHINA,48,BACHELOR'S,ENGINEER,ENGINEERING,58510,LOW,Y
C,22-12-2022,16-01-2023,NEBRASKA SERVICE CENTER,INDIA,49,MASTER'S,SENIOR SYSTEMS ANALYST JC60,IT,86632,MEDIUM,Y
C,03-05-2022,22-05-2022,nan,INDIA,59,BACHELOR'S,"MANAGER, ENGINEERING PROJECTS",IT,105352,HIGH,Y
CW,,,CALIFORNIA SERVICE CENTER,INDIA,38,nan,"MANAGER, ENGINEERING PROJECTS",IT,105352,HIGH,N
C,24-08-2022,17-10-2022,POTOMAC SERVICE CENTER,INDIA,48,BACHELOR'S,RESEARCH ASSISTANT PATHOLOGY,IT,50128,LOW,Y
C,29-04-2022,11-06-2022,CALIFORNIA SERVICE CENTER,INDIA,23,MASTER'S,PRACTICE MANAGER,IT,122491,HIGH,Y
C,03-04-2022,15-04-2022,TEXAS SERVICE CENTER,INDIA,30,MASTER'S,SR. CONSULTANT,EDUCATION,69888,MEDIUM,Y
C,28-07-2022,04-09-2022,TEXAS SERVICE CENTER,CHINA,,MASTER'S,COMPUTER PROGRAMMER,ENGINEERING,84053,MEDIUM,Y
C,21-02-2022,03-03-2022,NEBRASKA SERVICE CENTER,INDIA,24,BACHELOR'S,SOFTWARE ENGINEER,IT,67829,MEDIUM,Y
C,08-06-2022,07-07-2022,TEXAS SERVICE CENTER,INDIA,55,BACHELOR'S,PRACTICE MANAGER,FINANCE,94453,MEDIUM,Y
C,16-08-2022,09-10-2022,POTOMAC SERVICE CENTER,INDIA,22,nan,TECHNO-FUNCTIONAL CONSULTANT,MEDICAL,68390,MEDIUM,Y
C,26-05-2022,10-06-2022,POTOMAC SERVICE CENTER,INDIA,31,nan,"SOFTWARE DEVELOPERS, APPLICATIONS",ENGINEERING,68390,MEDIUM,Y
C,20-10-2022,04-11-2022,VERMONT SERVICE CENTER,nan,42,MASTER'S,TECHNICAL SOLUTIONS ENGINEER,IT,66123,MEDIUM,Y
C,26-12-2022,17-02-2023,TEXAS SERVICE CENTER,MEXICO,59,MASTER'S,DSP SYSTEMS SOFTWARE ENGINEER,MEDICAL,68390,MEDIUM,Y
C,10-12-2022,30-12-2022,CALIFORNIA SERVICE CENTER,INDIA,48,MASTER'S,STAFF CONSULTANT,IT,63710,MEDIUM,N
C,15-03-2022,11-05-2022,CALIFORNIA SERVICE CENTER,INDIA,48,MASTER'S,STAFF CONSULTANT,IT,78603,MEDIUM,Y
C,04-10-2022,27-10-2022,TEXAS SERVICE CENTER,INDIA,46,MASTER'S,SENIOR SOFTWARE DEVELOPER,IT,88067,MEDIUM,Y
C,20-09-2022,12-11-2022,nan,nan,35,BACHELOR'S,COMPUTER PROGRAMMER,MEDICAL,67496,MEDIUM,Y
C,23-05-2022,11-06-2022,VERMONT SERVICE CENTER,INDIA,34,BACHELOR'S,STAFF CONSULTANT,ENGINEERING,63710,MEDIUM,Y
C,21-04-2022,10-05-2022,nan,nan,41,nan,"SENIOR SOFTWARE ENGINEER, GATEWAY",IT,88067,MEDIUM,Y
C,02-01-2022,14-01-2022,POTOMAC SERVICE CENTER,nan,55,BACHELOR'S,SR. CONSULTANT,IT,69888,MEDIUM,Y
C,25-07-2022,21-08-2022,TEXAS SERVICE CENTER,CHINA,49,nan,SENIOR CONSULTANT,ENGINEERING,63710,MEDIUM,Y
C,12-12-2022,24-01-2023,CALIFORNIA SERVICE CENTER,INDIA,32,nan,SENIOR SOFTWARE ENGINEER,FINANCE,88067,MEDIUM,Y
C,09-11-2022,19-12-2022,CALIFORNIA SERVICE CENTER,INDIA,27,nan,PRINCIPLE CONSULTANT,EDUCATION,68390,MEDIUM,N
C,02-07-2022,05-08-2022,CALIFORNIA SERVICE CENTER,INDIA,34,BACHELOR'S,SENIOR CLOUD ADMIN,IT,55182,LOW,Y
C,08-06-2022,14-07-2022,NEBRASKA SERVICE CENTER,INDIA,47,MASTER'S,SOFTWARE QUALITY ASSURANCE ENGINEER,IT,74818,MEDIUM,Y
C,29-12-2022,28-01-2023,nan,INDIA,51,BACHELOR'S,VALIDATION ENGINEER,IT,68494,MEDIUM,Y
C,20-06-2022,16-08-2022,TEXAS SERVICE CENTER,INDIA,39,MASTER'S,PRINCIPLE CONSULTANT,ENGINEERING,63710,MEDIUM,N
C,09-05-2022,22-05-2022,NEBRASKA SERVICE CENTER,INDIA,46,MASTER'S,SENIOR CLOUD ADMIN,IT,55182,LOW,Y
C,16-11-2022,02-01-2023,CALIFORNIA SERVICE CENTER,CHINA,50,MASTER'S,STAFF CONSULTANT,IT,63710,MEDIUM,Y
C,11-08-2022,26-08-2022,NEBRASKA SERVICE CENTER,nan,59,nan,SENIOR TECHNICAL LEADER,IT,109075,HIGH,Y
C,20-02-2022,21-04-2022,VERMONT SERVICE CENTER,INDIA,25,MASTER'S,"SOFTWARE DEVELOPERS, APPLICATIONS",IT,68390,MEDIUM,Y
C,08-12-2022,27-01-2023,TEXAS SERVICE CENTER,INDIA,39,BACHELOR'S,STAFF CONSULTANT,IT,63710,MEDIUM,N
C,02-05-2022,18-05-2022,TEXAS SERVICE CENTER,CHINA,22,MASTER'S,SOFTWARE ENGINEER,IT,88067,MEDIUM,Y
C,16-04-2022,10-05-2022,TEXAS SERVICE CENTER,PHILIPPINES,27,nan,PROGRAMMER ANALYST,ENGINEERING,63710,MEDIUM,Y
C,23-09-2022,11-11-2022,NEBRASKA SERVICE CENTER,SOUTH KOREA,49,BACHELOR'S,SOFTWARE QUALITY ASSURANCE ENGINEER,IT,74818,MEDIUM,Y
C,09-07-2022,24-08-2022,CALIFORNIA SERVICE CENTER,INDIA,31,MASTER'S,"SOFTWARE ENGINEER, VALUE ADDED SERVICES",IT,68390,MEDIUM,Y
C,14-01-2022,04-02-2022,nan,INDIA,34,BACHELOR'S,SENIOR CONSULTANT,ENGINEERING,63710,MEDIUM,Y
C,08-10-2022,29-10-2022,POTOMAC SERVICE CENTER,CHINA,22,BACHELOR'S,IM SOFTWARE ENGINEER MANAGER,ENGINEERING,127941,HIGH,Y
D,02-11-2022,20-12-2022,NEBRASKA SERVICE CENTER,INDIA,53,BACHELOR'S,TECHNO-FUNCTIONAL CONSULTANT,IT,88067,MEDIUM,Y
C,07-01-2022,19-01-2022,TEXAS SERVICE CENTER,INDIA,48,MASTER'S,STAFF CONSULTANT,OTHER,63710,MEDIUM,Y
C,02-12-2022,08-01-2023,CALIFORNIA SERVICE CENTER,INDIA,,MASTER'S,STAFF CONSULTANT,IT,63710,MEDIUM,Y
C,27-08-2022,04-10-2022,TEXAS SERVICE CENTER,INDIA,49,MASTER'S,TECHNICAL LEADER,ENGINEERING,93475,MEDIUM,Y
C,16-04-2022,09-05-2022,POTOMAC SERVICE CENTER,CHINA,55,BACHELOR'S,SOFTWARE DEVELOPER,IT,68390,MEDIUM,Y
C,30-12-2022,16-01-2023,CALIFORNIA SERVICE CENTER,INDIA,51,BACHELOR'S,"RESEARCH, DEVELOPMENT & PRODUCTS STAFF ENGINEER",IT,58926,LOW,Y
C,09-04-2022,24-04-2022,VERMONT SERVICE CENTER,INDIA,22,BACHELOR'S,SR. CONSULTANT,IT,87859,MEDIUM,Y
C,30-07-2022,19-08-2022,NEBRASKA SERVICE CENTER,CANADA,37,MASTER'S,SENIOR BUSINESS ANALYST,ENGINEERING,104562,HIGH,Y
C,23-01-2022,16-02-2022,TEXAS SERVICE CENTER,INDIA,,MASTER'S,SENIOR SOFTWARE ENGINEER,IT,78603,MEDIUM,Y
CW,13-10-2022,18-11-2022,POTOMAC SERVICE CENTER,SOUTH KOREA,40,BACHELOR'S,SENIOR CONSULTANT,ENGINEERING,58989,LOW,Y
CW,04-08-2022,25-09-2022,POTOMAC SERVICE CENTER,INDIA,39,nan,STAFF CONSULTANT,ENGINEERING,58989,LOW,Y
C,24-06-2022,13-07-2022,nan,INDIA,32,BACHELOR'S,"SOFTWARE ENGINEER, JAVA WEB APP DEVELOPER",ENGINEERING,68390,MEDIUM,N
CW,29-01-2022,07-03-2022,CALIFORNIA SERVICE CENTER,INDIA,36,MASTER'S,STAFF CONSULTANT,IT,58989,LOW,Y
C,12-06-2022,12-07-2022,NEBRASKA SERVICE CENTER,INDIA,23,BACHELOR'S,COMPUTER PROGRAMMER,IT,67496,MEDIUM,Y
W,13-08-2022,12-10-2022,TEXAS SERVICE CENTER,CHINA,24,MASTER'S,HILL ROM INC,IT,68494,MEDIUM,Y
C,12-09-2022,20-10-2022,nan,INDIA,35,MASTER'S,PRINCIPAL SOFTWARE ENGINEER,FINANCE,107744,HIGH,Y
C,14-12-2022,11-01-2023,NEBRASKA SERVICE CENTER,INDIA,,BACHELOR'S,STAFF CONSULTANT,FINANCE,67496,MEDIUM,Y
C,23-10-2022,17-11-2022,POTOMAC SERVICE CENTER,INDIA,58,nan,SOFTWARE ENGINEER - EMS DESIGN AND DEVELOPMENT,MEDICAL,68390,MEDIUM,Y
C,27-06-2022,20-07-2022,nan,INDIA,34,MASTER'S,LEAD ANALYST,IT,78603,MEDIUM,Y
C,14-10-2022,10-12-2022,nan,CANADA,42,MASTER'S,MOBILE PERFORMANCE SOFTWARE ENGINEER,IT,68390,MEDIUM,Y
C,14-11-2022,09-01-2023,POTOMAC SERVICE CENTER,CHINA,55,MASTER'S,"SOFTWARE ENGINEER, WIRELESS WIFI",IT,81390,MEDIUM,Y
C,27-11-2022,15-12-2022,CALIFORNIA SERVICE CENTER,INDIA,24,MASTER'S,STAFF CONSULTANT,IT,63710,MEDIUM,Y
C,,,nan,INDIA,41,BACHELOR'S,PRINCIPAL SOFTWARE QUALITY ASSURANCE ENGINEER,ENGINEERING,111488,HIGH,N
C,18-06-2022,10-08-2022,CALIFORNIA SERVICE CENTER,CHINA,56,MASTER'S,COMPUTER PROGRAMMER,IT,67496,MEDIUM,Y
C,28-10-2022,07-11-2022,NEBRASKA SERVICE CENTER,INDIA,43,BACHELOR'S,SR. PRINCIPAL CONSULTANT,OTHER,107890,HIGH,N
C,01-07-2022,21-08-2022,nan,CANADA,51,MASTER'S,DATABASE ARCHITECT,IT,56472,LOW,N
C,26-01-2022,22-02-2022,POTOMAC SERVICE CENTER,INDIA,,MASTER'S,SENIOR SUSTAINING ENGINEER,IT,87859,MEDIUM,Y
C,02-08-2022,25-08-2022,VERMONT SERVICE CENTER,PHILIPPINES,56,BACHELOR'S,"SOFTWARE DEVELOPERS, APPLICATIONS",IT,68390,MEDIUM,Y
C,02-04-2022,26-05-2022,nan,INDIA,48,MASTER'S,SR. PROGRAMMER ANALYST,IT,78603,MEDIUM,Y
W,,,nan,MEXICO,22,BACHELOR'S,MECHANICAL ENGINEER,ENGINEERING,76523,MEDIUM,Y
CW,15-03-2022,19-04-2022,TEXAS SERVICE CENTER,INDIA,48,MASTER'S,MANAGING PRINCIPAL,OTHER,74402,MEDIUM,Y
C,02-09-2022,18-10-2022,VERMONT SERVICE CENTER,INDIA,54,BACHELOR'S,SR. SOFTWARE ENGINEER,IT,98093,MEDIUM,Y
C,,,TEXAS SERVICE CENTER,CHINA,25,BACHELOR'S,SOFTWARE DEVELOPER,IT,99757,MEDIUM,Y
CW,06-11-2022,01-12-2022,NEBRASKA SERVICE CENTER,INDIA,34,MASTER'S,SR. CONSULTANT,IT,58989,LOW,N
C,03-04-2022,11-05-2022,VERMONT SERVICE CENTER,CANADA,57,MASTER'S,STAFF CONSULTANT,OTHER,63710,MEDIUM,Y
CW,11-11-2022,25-12-2022,NEBRASKA SERVICE CENTER,INDIA,36,BACHELOR'S,STAFF CONSULTANT,IT,58989,LOW,Y
C,,,CALIFORNIA SERVICE CENTER,INDIA,55,DOCTORATE,"COMPUTER SOFTWARE ENGINEER, APPLICATIONS",IT,89930,MEDIUM,Y
C,07-07-2022,03-09-2022,POTOMAC SERVICE CENTER,INDIA,24,BACHELOR'S,MARKETING SPECIALIST,IT,59072,LOW,N
CW,20-07-2022,15-08-2022,nan,INDIA,38,DOCTORATE,IM SOFTWARE ENGINEER MANAGER,IT,127941,HIGH,Y
C,11-12-2022,09-02-2023,CALIFORNIA SERVICE CENTER,INDIA,58,MASTER'S,SENIOR ENGINEER,IT,92227,MEDIUM,Y
C,18-04-2022,07-05-2022,VERMONT SERVICE CENTER,CHINA,24,MASTER'S,STAFF CONSULTANT,MEDICAL,67496,MEDIUM,Y
C,14-10-2022,20-11-2022,nan,INDIA,26,BACHELOR'S,STAFF CONSULTANT,OTHER,63710,MEDIUM,Y
CW,04-01-2022,02-02-2022,POTOMAC SERVICE CENTER,INDIA,46,MASTER'S,SENIOR CONSULTANT,IT,58989,LOW,Y
C,17-06-2022,27-06-2022,CALIFORNIA SERVICE CENTER,nan,,MASTER'S,SR. CONSULTANT,IT,69888,MEDIUM,Y
CW,30-11-2022,24-12-2022,NEBRASKA SERVICE CENTER,INDIA,54,MASTER'S,SENIOR CONSULTANT,EDUCATION,58989,LOW,Y
C,22-12-2022,06-01-2023,nan,nan,54,MASTER'S,SOFTWARE DEVELOPER - APPLICATIONS,IT,88067,MEDIUM,Y
C,12-03-2022,19-04-2022,POTOMAC SERVICE CENTER,INDIA,34,MASTER'S,COMPUTER PROGRAMMER,IT,67496,MEDIUM,Y
C,11-12-2022,16-01-2023,VERMONT SERVICE CENTER,INDIA,51,MASTER'S,SENIOR DBA,IT,55182,LOW,Y
C,11-01-2022,28-01-2022,NEBRASKA SERVICE CENTER,INDIA,55,DOCTORATE,STAFF CONSULTANT,IT,63710,MEDIUM,Y
C,21-11-2022,23-12-2022,TEXAS SERVICE CENTER,INDIA,49,MASTER'S,SENIOR DBA,IT,55182,LOW,Y
C,30-06-2022,22-08-2022,nan,INDIA,34,BACHELOR'S,LEAD ANALYST,IT,78603,MEDIUM,Y
C,31-12-2022,21-02-2023,POTOMAC SERVICE CENTER,CHINA,47,MASTER'S,PRINCIPLE CONSULTANT,OTHER,68390,MEDIUM,Y
CW,28-05-2022,13-07-2022,POTOMAC SERVICE CENTER,INDIA,22,MASTER'S,STAFF CONSULTANT,FINANCE,58989,LOW,Y
CW,19-01-2022,22-02-2022,NEBRASKA SERVICE CENTER,INDIA,52,BACHELOR'S,SENIOR CONSULTANT,ENGINEERING,68390,MEDIUM,Y
C,23-03-2022,07-05-2022,nan,nan,,MASTER'S,SENIOR CONSULTANT,IT,63710,MEDIUM,Y
C,03-12-2022,17-12-2022,CALIFORNIA SERVICE CENTER,SOUTH KOREA,39,BACHELOR'S,"SOFTWARE ENGINEER, GATEWAY",IT,81390,MEDIUM,Y
C,11-05-2022,25-05-2022,NEBRASKA SERVICE CENTER,INDIA,58,MASTER'S,INDUSTRIAL ENGINEER,IT,61500,MEDIUM,Y
CW,24-08-2022,18-10-2022,NEBRASKA SERVICE CENTER,INDIA,45,MASTER'S,STAFF CONSULTANT,IT,58989,LOW,Y
CW,17-07-2022,01-09-2022,CALIFORNIA SERVICE CENTER,INDIA,40,BACHELOR'S,SENIOR CONSULTANT,OTHER,58989,LOW,Y
C,23-06-2022,08-07-2022,VERMONT SERVICE CENTER,CHINA,32,MASTER'S,STAFF CONSULTANT,ENGINEERING,67496,MEDIUM,Y
C,10-07-2022,03-09-2022,NEBRASKA SERVICE CENTER,CHINA,48,nan,COMPUTER PROGRAMMER,ENGINEERING,67496,MEDIUM,Y
C,05-05-2022,17-05-2022,VERMONT SERVICE CENTER,INDIA,41,BACHELOR'S,STAFF CONSULTANT,FINANCE,67496,MEDIUM,Y
C,07-03-2022,25-03-2022,nan,INDIA,42,BACHELOR'S,PROGRAM MANAGER,IT,96741,MEDIUM,Y
CW,14-12-2022,11-01-2023,nan,INDIA,51,nan,PROGRAMMER ANALYST,IT,89378,MEDIUM,Y
CW,14-08-2022,02-10-2022,VERMONT SERVICE CENTER,INDIA,43,MASTER'S,STAFF CONSULTANT,IT,58989,LOW,N
CW,12-11-2022,29-11-2022,nan,INDIA,44,MASTER'S,STAFF CONSULTANT,ENGINEERING,63710,MEDIUM,Y
CW,16-02-2022,17-04-2022,nan,INDIA,23,MASTER'S,PRACTICE MANAGER,IT,58926,LOW,Y
C,08-02-2022,22-02-2022,POTOMAC SERVICE CENTER,CHINA,32,nan,DATABASE ARCHITECT,IT,56472,LOW,Y
C,08-10-2022,21-10-2022,TEXAS SERVICE CENTER,PHILIPPINES,25,BACHELOR'S,PRACTICE MANAGER,IT,79186,MEDIUM,Y
C,09-04-2022,04-05-2022,CALIFORNIA SERVICE CENTER,INDIA,,BACHELOR'S,SENIOR SOFTWARE ENGINEER,IT,88067,MEDIUM,Y
CW,29-10-2022,28-12-2022,TEXAS SERVICE CENTER,INDIA,31,BACHELOR'S,SR. CONSULTANT,IT,58989,LOW,Y
C,17-05-2022,07-06-2022,nan,INDIA,35,MASTER'S,PRACTICE MANAGER,IT,79186,MEDIUM,Y
